92-U-234(n,total fission) ENDF/B-VII.1
91.7119,0.0016342
91.9786,0.00200426
92.2326,0.00249986
92.44,0.00306869
92.6348,0.00381362
92.8041,0.00472056
92.9565,0.00586287
93.092,0.00728913
93.2126,0.00907658
93.3206,0.0113355
93.4095,0.0139398
93.4857,0.0170172
93.5534,0.0207878
93.6169,0.0257721
93.6698,0.0317667
93.7143,0.0390924
93.7524,0.0482587
93.782,0.0583799
93.8116,0.072519
93.8396,0.0912179
93.8662,0.11594
93.8929,0.149826
93.9183,0.193292
93.9437,0.250585
93.9716,0.333132
94.0004,0.443287
94.0343,0.609139
94.0716,0.837041
94.1444,1.37762
94.2087,1.82884
94.2527,2.02601
94.2897,2.08159
94.33,2.01602
94.3747,1.80581
94.4466,1.28924
94.5114,0.815178
94.5495,0.587146
94.5821,0.431694
94.6117,0.321515
94.6388,0.243965
94.6642,0.188306
94.6896,0.146117
94.7138,0.115943
94.7404,0.0912103
94.7671,0.0732101
94.7976,0.0584896
94.8242,0.0491762
94.8573,0.0407441
94.8996,0.0331591
94.9504,0.0269029
95.0097,0.0218387
95.0732,0.0179692
95.1494,0.0146148
95.2383,0.0118119
95.3399,0.00952687
95.4542,0.00769242
95.5875,0.00617008
95.7293,0.00501364
95.8987,0.00402878
96.0722,0.00330643
96.2797,0.00268644
96.4998,0.00221612
96.7538,0.0018277
97.0501,0.0015067
97.3719,0.0012622
97.7867,0.00104793
98.2355,8.95053E-4
98.6927,7.93231E-4
99.3023,7.1103E-4
100.051,6.66372E-4
100.301,6.62358E-4
101.029,6.7469E-4
101.928,7.40105E-4
102.616,8.41009E-4
103.131,9.61578E-4
103.626,0.00113833
103.979,0.00132557
104.261,0.00154514
104.533,0.00185744
104.736,0.00220748
104.917,0.00266938
105.052,0.00317787
105.165,0.0037837
105.271,0.00460395
105.346,0.00544552
105.418,0.00660042
105.474,0.0079853
105.514,0.00945084
105.548,0.0113143
105.576,0.0135884
105.603,0.0166451
105.625,0.0203266
105.648,0.0253964
105.67,0.0323706
105.693,0.0419062
105.714,0.0535859
105.736,0.0704222
105.759,0.0925811
105.781,0.121223
105.808,0.164385
105.836,0.224053
105.864,0.298952
105.903,0.424768
105.962,0.663544
106.034,0.958936
106.08,1.09188
106.125,1.14486
106.13,1.1454
106.172,1.10585
106.214,0.996214
106.282,0.729978
106.353,0.440649
106.39,0.315537
106.421,0.230889
106.449,0.169965
106.475,0.126424
106.498,0.0962818
106.521,0.0730177
106.544,0.0554012
106.564,0.0439204
106.584,0.0350978
106.605,0.0280301
106.628,0.0222656
106.649,0.0185212
106.675,0.0151471
106.701,0.0127851
106.732,0.0108241
106.771,0.00916962
106.822,0.00780319
106.882,0.00676377
106.966,0.00579887
107.064,0.0050935
107.155,0.00467141
107.275,0.00432093
107.456,0.00407731
107.547,0.00404117
107.798,0.00414879
108.049,0.00450203
108.362,0.00527324
108.652,0.00638429
108.887,0.0076941
109.116,0.00950885
109.312,0.0117003
109.481,0.0143015
109.635,0.0175891
109.772,0.0216434
109.901,0.026956
110.018,0.0338262
110.119,0.0421827
110.209,0.0527318
110.276,0.0637839
110.337,0.0778928
110.386,0.093805
110.426,0.111772
110.462,0.135577
110.49,0.161374
110.518,0.197177
110.543,0.240405
110.567,0.299307
110.591,0.376358
110.613,0.474669
110.637,0.614585
110.661,0.794075
110.686,1.04673
110.711,1.37434
110.737,1.78985
110.766,2.39985
110.801,3.32183
110.845,4.73535
110.964,9.09101
111.015,10.3568
111.06,10.7345
111.104,10.3672
111.151,9.24915
111.227,6.51909
111.293,4.11334
111.334,2.8885
111.367,2.10085
111.396,1.56934
111.424,1.16449
111.449,0.884799
111.474,0.671598
111.5,0.511908
111.524,0.396794
111.549,0.311891
111.573,0.249579
111.598,0.203835
111.627,0.16441
111.661,0.133226
111.699,0.109235
111.743,0.0897782
111.799,0.0731205
111.867,0.0592841
111.939,0.048609
112.023,0.0396692
112.121,0.0321239
112.236,0.0257888
112.354,0.0210942
112.494,0.0170288
112.651,0.0137479
112.819,0.0111928
113.015,0.00902471
113.242,0.00722608
113.488,0.00582611
113.746,0.00475927
114.04,0.00386814
114.376,0.00312674
114.729,0.00255938
115.153,0.00206968
115.596,0.00169147
116.131,0.00135924
116.666,0.00111803
117.291,9.11485E-4
118.005,7.40527E-4
118.837,5.97683E-4
119.67,4.97067E-4
120.503,4.18698E-4
121.454,3.51959E-4
122.644,2.91119E-4
124.071,2.38625E-4
125.736,1.96852E-4
127.878,1.61237E-4
129.781,1.40434E-4
131.455,1.2802E-4
133.967,1.17676E-4
135.641,1.15044E-4
137.315,1.17438E-4
138.99,1.26847E-4
140.245,1.42592E-4
141.135,1.61369E-4
141.92,1.89533E-4
142.391,2.15332E-4
142.861,2.52576E-4
143.284,3.00781E-4
143.609,3.55171E-4
143.88,4.18874E-4
144.146,5.07165E-4
144.387,6.22929E-4
144.594,7.66769E-4
144.772,9.43815E-4
144.927,0.00116513
145.053,0.00141756
145.173,0.00176018
145.269,0.00214588
145.358,0.00265029
145.432,0.00326223
145.481,0.00384711
145.531,0.00469459
145.57,0.005705
145.605,0.00699878
145.634,0.00858223
145.66,0.010492
145.686,0.0130827
145.712,0.016594
145.738,0.0213275
145.762,0.0273081
145.787,0.0351033
145.815,0.0465638
145.84,0.0603723
145.871,0.0809888
145.901,0.107158
145.938,0.147507
145.978,0.202033
146.041,0.305511
146.13,0.457973
146.19,0.532926
146.244,0.560218
146.25,0.560472
146.299,0.541485
146.349,0.48874
146.427,0.36081
146.508,0.223402
146.552,0.160083
146.59,0.116252
146.624,0.0848346
146.653,0.0641805
146.681,0.048688
146.709,0.0367457
146.733,0.0285953
146.758,0.0224609
146.783,0.0174492
146.809,0.0137229
146.835,0.0109692
146.861,0.00893827
146.889,0.00734477
146.922,0.005987
146.961,0.00490263
147.005,0.00406385
147.063,0.00332929
147.125,0.00279163
147.211,0.0022652
147.304,0.00186517
147.408,0.00154821
147.536,0.00126945
147.684,0.00104536
147.856,8.65274E-4
148.031,7.3884E-4
148.241,6.35033E-4
148.492,5.54552E-4
148.736,5.07036E-4
149.058,4.7709E-4
149.219,4.73716E-4
149.564,4.91408E-4
149.91,5.48469E-4
150.141,6.17377E-4
150.371,7.24688E-4
150.569,8.64511E-4
150.733,0.00103541
150.887,0.00126776
151.019,0.00155872
151.134,0.00192917
151.216,0.00230258
151.293,0.00278868
151.359,0.00339171
151.414,0.00414177
151.458,0.00504238
151.491,0.00603981
151.525,0.00746011
