28-Ni-58(n,elastic) ENDF/B-VII.1
83396.1,5.12535
83398.9,5.45658
83402.1,6.24777
83406.0,7.78923
83412.3,10.6279
83416.3,11.6855
83419.3,11.903
83424.2,11.4136
83435.0,9.64357
83443.0,8.96974
83461.7,8.35275
83480.4,8.09611
83546.8,7.7693
83626.6,7.6846
83725.3,7.90398
83770.0,8.42229
83793.7,9.16412
83807.9,10.0664
83819.8,11.4315
83826.9,12.7659
83834.0,14.7657
83841.2,17.7647
83849.0,22.5208
83860.5,30.8387
83866.2,33.496
83869.8,34.0056
83874.2,33.2431
83881.0,29.5792
83893.2,20.9265
83899.8,17.2856
83906.9,14.5185
83915.2,12.4199
83924.7,10.9354
83938.5,9.69631
83951.3,9.05887
83978.9,8.52404
83996.6,8.03545
84062.2,7.58629
84280.5,7.25086
84889.7,7.00854
84913.4,7.17816
84945.1,6.98771
89875.3,5.8733
89961.2,5.97266
89977.7,6.19426
89983.5,6.46651
89987.6,6.9061
89991.3,7.67823
89994.3,8.77733
89997.3,10.3947
90000.8,12.9987
90008.5,19.9893
90012.3,22.0555
90014.3,22.364
90017.6,21.5209
90021.5,18.7352
90028.9,12.1129
90032.3,9.83539
90035.4,8.44633
90038.4,7.54635
90042.7,6.83098
90050.0,6.35111
90066.4,6.05642
90126.9,5.87612
92686.6,5.31106
92710.0,5.40597
92726.1,5.75213
92745.8,5.35718
95301.1,4.79703
95674.3,4.72413
95701.3,4.78651
95718.2,5.00285
95741.1,4.7337
96981.4,4.45411
97002.1,4.53798
97018.6,4.84637
97039.9,4.47666
97359.2,4.39162
97492.7,4.4649
97536.5,4.66221
97559.4,5.02644
97570.2,5.44381
97578.5,6.09243
97584.5,6.95178
97589.2,8.08984
97593.4,9.58789
97598.2,12.0204
97609.8,19.7383
97614.5,21.6493
97616.8,21.8906
97620.6,21.2221
97624.9,19.1567
97635.7,12.0219
97640.2,9.77004
97645.0,8.1207
97649.8,7.04717
97655.7,6.22171
97663.6,5.60487
97677.7,5.06759
97689.1,4.8475
97727.2,4.53986
97821.6,4.35601
99066.0,3.99541
101297.0,3.42143
101366.0,3.48836
101381.0,3.61148
101387.0,3.79643
101391.0,4.1014
101394.0,4.54166
101397.0,5.27787
101400.0,6.21485
101403.0,7.81601
101407.0,10.5413
101413.0,15.8994
101417.0,17.5537
101419.0,18.1014
101422.0,17.4753
101426.0,15.3945
101434.0,8.96005
101437.0,7.05129
101440.0,5.87272
101442.0,5.03711
101445.0,4.40771
101448.0,4.03276
101453.0,3.74369
101459.0,3.57255
101475.0,3.44904
101546.0,3.34535
103520.0,2.60051
104655.0,2.01254
105266.0,1.63885
105303.0,1.63106
105335.0,1.64011
105372.0,1.705
105389.0,1.79007
105403.0,1.94266
105412.0,2.12331
105419.0,2.3928
105424.0,2.75076
105428.0,3.18509
105431.0,3.71566
105434.0,4.45627
105437.0,5.46007
105440.0,6.8401
105443.0,8.91756
105447.0,12.191
105455.0,18.9461
105458.0,21.1484
105462.0,22.0516
105462.0,22.0517
105465.0,21.3402
105469.0,18.8872
105478.0,10.1335
105482.0,7.53207
105485.0,5.95696
105488.0,4.79119
105491.0,3.96533
105494.0,3.28571
105497.0,2.8366
105502.0,2.43409
105507.0,2.20774
105515.0,1.93561
105524.0,1.77981
105539.0,1.62688
105568.0,1.48527
105612.0,1.38788
105784.0,1.19196
106459.0,0.530655
106746.0,0.248208
106864.0,0.145195
106936.0,0.0916615
106986.0,0.0595691
107024.0,0.0386797
107053.0,0.0255259
107074.0,0.0173806
107092.0,0.0117686
107107.0,0.0080261
107118.0,0.00566059
107126.0,0.00421051
107134.0,0.0032878
107138.0,0.00286162
107141.0,0.00266488
107146.0,0.00253979
107149.0,0.00259668
107151.0,0.00279978
107154.0,0.00318712
107156.0,0.00362004
107157.0,0.00427569
107159.0,0.00512469
107160.0,0.00635684
107161.0,0.00785006
107162.0,0.00991047
107164.0,0.0126213
107165.0,0.0162076
107166.0,0.0210045
107167.0,0.0273856
107168.0,0.0357945
107169.0,0.0465082
107171.0,0.0612478
107172.0,0.080248
107173.0,0.107121
107175.0,0.144988
107176.0,0.193449
107178.0,0.265365
107180.0,0.370018
107182.0,0.528276
107185.0,0.804764
107191.0,1.29047
107194.0,1.49242
107197.0,1.57019
107197.0,1.57108
107200.0,1.51045
107202.0,1.36066
107207.0,0.982946
107211.0,0.615647
107214.0,0.434443
107216.0,0.315738
107217.0,0.23986
107219.0,0.184357
107221.0,0.142003
107222.0,0.110487
107224.0,0.0875856
107225.0,0.0728322
107227.0,0.0599144
107229.0,0.0513906
107231.0,0.045661
107233.0,0.0420359
107236.0,0.0383451
107242.0,0.0367787
107243.0,0.0367508
107252.0,0.0380268
107265.0,0.0430549
107283.0,0.053334
107302.0,0.0683374
107326.0,0.0920089
107352.0,0.122723
107380.0,0.166019
107412.0,0.224928
107448.0,0.30665
107490.0,0.425904
107533.0,0.580774
107580.0,0.795198
107632.0,1.09315
107684.0,1.47665
107731.0,1.92201
107759.0,2.27302
107774.0,2.5767
107780.0,2.79376
107784.0,3.06203
107787.0,3.43788
107790.0,3.95498
107793.0,4.68527
107797.0,5.92669
107801.0,8.05172
107808.0,11.7849
107811.0,12.9284
107814.0,13.2503
107816.0,12.9464
107820.0,11.6097
107829.0,6.99499
107833.0,5.61934
107836.0,4.77618
107839.0,4.30813
107843.0,3.94865
107849.0,3.72986
107853.0,3.70137
107874.0,3.91609
107931.0,4.95922
107997.0,6.53823
108083.0,9.14289
108196.0,13.4041
108369.0,20.3428
108475.0,23.3469
108588.0,24.6728
108610.0,24.716
108728.0,24.0524
109223.0,16.8273
109492.0,13.9454
109814.0,11.5964
110191.0,9.79486
110648.0,8.38077
110688.0,8.33502
110706.0,8.47284
110714.0,8.92193
110718.0,9.51783
110723.0,10.9116
110728.0,13.1371
110735.0,16.9001
110740.0,18.0114
110741.0,18.0723
110745.0,17.5288
110749.0,15.5719
110757.0,11.4929
110762.0,9.83008
110766.0,9.16096
110773.0,8.49846
110789.0,8.16578
111004.0,7.59216
111497.0,6.79855
111511.0,7.00251
111528.0,7.83588
111529.0,7.84446
111537.0,7.53582
111549.0,6.88837
111566.0,6.69839
112430.0,5.76866
113612.0,4.93852
115536.0,4.03199
116822.0,3.55421
116846.0,3.58707
117037.0,3.47708
117745.0,3.25028
117816.0,3.29879
117841.0,3.42783
117854.0,3.65171
117860.0,3.90092
117863.0,4.20552
117867.0,4.71996
117871.0,5.54526
117874.0,6.60387
117877.0,8.14691
117881.0,10.7603
117889.0,16.4416
117893.0,18.1041
117896.0,18.4305
117899.0,17.846
117903.0,15.9824
117913.0,9.21779
117916.0,7.36547
117919.0,6.15127
117922.0,5.26063
117926.0,4.56752
117930.0,4.1857
117936.0,3.79639
117944.0,3.56219
117964.0,3.35085
118013.0,3.21222
118435.0,3.00166
119734.0,2.54511
119773.0,2.57749
119787.0,2.67432
119793.0,2.83648
119797.0,3.08377
119800.0,3.41175
119803.0,4.04397
119807.0,4.99617
119811.0,6.54281
119817.0,8.94975
119821.0,10.01
119824.0,10.224
119827.0,9.94064
119830.0,9.01919
119840.0,5.25506
119844.0,4.22316
119847.0,3.51873
119851.0,3.07474
119856.0,2.79458
119863.0,2.6221
119883.0,2.5172
120084.0,2.3906
121076.0,1.94934
121087.0,2.00291
121094.0,2.16081
121108.0,2.77859
121112.0,2.82929
121117.0,2.73544
121130.0,2.17679
121137.0,2.00469
121142.0,1.95513
121179.0,1.90427
121304.0,1.86007
121361.0,1.9074
121381.0,2.00171
121389.0,2.09675
121398.0,2.29802
121403.0,2.57626
121406.0,2.90791
121409.0,3.28633
121412.0,3.92424
121415.0,4.79074
121418.0,6.15412
121423.0,8.42124
121430.0,13.1129
121434.0,14.726
121437.0,15.4251
121438.0,15.4365
121440.0,15.0321
121445.0,13.3422
121455.0,7.09693
121458.0,5.38778
121461.0,4.35326
121464.0,3.64891
121467.0,3.08223
121471.0,2.63682
121476.0,2.31839
121482.0,2.12844
121489.0,1.99391
121505.0,1.86512
121536.0,1.76062
121635.0,1.64961
122293.0,1.15899
122656.0,0.814456
122951.0,0.476553
123200.0,0.169991
123264.0,0.100593
123305.0,0.0620285
123333.0,0.0400152
123353.0,0.0264365
123369.0,0.0179631
123381.0,0.0126564
123390.0,0.00931164
123398.0,0.0072834
123404.0,0.00596762
123410.0,0.00509318
123417.0,0.0046183
123421.0,0.00453403
123425.0,0.00465924
123429.0,0.00501625
123434.0,0.0056139
123440.0,0.00679998
123446.0,0.00866809
123453.0,0.0113909
123461.0,0.0152654
123470.0,0.0208725
123479.0,0.0284886
123491.0,0.0397758
123504.0,0.0556209
123518.0,0.0775801
123533.0,0.107723
123550.0,0.148749
123569.0,0.20423
123589.0,0.278984
123608.0,0.372857
123631.0,0.506814
123657.0,0.697847
123682.0,0.942497
123708.0,1.25362
123736.0,1.69655
123764.0,2.26767
123795.0,3.06777
123826.0,4.08821
123857.0,5.43215
123894.0,7.46589
123935.0,10.3517
124032.0,18.3907
124043.0,20.2313
124055.0,22.7899
124060.0,23.0656
124079.0,21.3483
124083.0,21.203
124126.0,21.6184
124156.0,21.3351
124231.0,19.0012
124371.0,13.9429
124467.0,11.4358
124562.0,9.64297
124671.0,8.19067
124815.0,6.8785
124980.0,5.85986
125211.0,4.92726
125310.0,4.67556
125322.0,4.83431
125327.0,5.17507
125333.0,5.85514
125345.0,8.08037
125349.0,8.39963
125354.0,8.11511
125360.0,6.9096
125367.0,5.66511
125371.0,5.07485
125375.0,4.819
125381.0,4.56811
125396.0,4.4332
125671.0,3.84601
126073.0,3.28103
126597.0,2.77591
127305.0,2.28774
128366.0,1.73943
129620.0,1.21639
129799.0,1.17191
129865.0,1.20254
129891.0,1.26039
129909.0,1.36091
129920.0,1.48346
129928.0,1.63845
129934.0,1.83063
129939.0,2.07863
129943.0,2.42225
129946.0,2.85804
129949.0,3.47932
129952.0,4.20524
129955.0,5.24727
129958.0,6.80842
129962.0,9.29613
129972.0,16.3222
129975.0,18.2686
