94-Pu-241(n,total fission) ENDF/B-VII.1
50.6504,20.8214
50.7123,16.5917
50.771,13.682
50.8394,11.3371
50.9045,9.82027
50.9914,8.46348
51.1,7.37835
51.252,6.44806
51.4475,5.75058
51.656,5.3401
51.8645,5.20802
52.0073,5.41297
52.1017,5.8679
52.2098,6.48572
52.2278,6.50177
52.2818,6.21358
52.3336,5.42589
52.4294,3.47108
52.4654,2.93337
52.5014,2.59828
52.5393,2.44287
52.5519,2.42593
52.6059,2.47247
52.7319,2.74886
52.8778,2.91229
53.2073,2.99261
53.7473,2.91343
53.9949,2.79696
54.0678,2.85114
54.1214,3.03228
54.1902,3.48962
54.2843,4.17722
54.3415,4.32025
54.4131,4.15078
54.5341,3.66813
54.5891,3.53902
54.7652,3.3868
54.9577,3.35824
55.4928,3.45465
55.6359,3.58853
55.7239,3.89473
55.8761,4.81674
55.9242,4.9117
56.0018,4.70913
56.1146,4.22087
56.2302,4.05779
56.4227,4.16593
56.7234,4.57962
56.8923,4.99682
57.1557,6.1163
57.2273,6.18232
57.2527,6.18154
57.3415,6.32612
57.4155,6.84059
57.4986,7.90878
57.5817,9.51692
57.6649,11.8104
57.9044,20.7197
57.969,23.8141
58.0279,28.2976
58.0887,35.1316
58.2309,54.2079
58.2917,59.7748
58.3621,62.7872
58.3884,63.0579
58.5099,60.7339
58.6481,56.9086
58.7448,56.0353
58.8795,58.2372
59.0143,64.5989
59.2255,79.8339
59.3256,83.4698
59.4034,80.8234
59.484,71.9853
59.6146,49.5186
59.6997,35.5258
59.7529,28.7394
59.8064,23.7544
59.8481,21.1434
59.8898,19.5804
59.9315,18.9966
59.9801,19.4984
60.0287,21.2996
60.0774,24.5804
60.1199,28.9914
60.1608,35.0628
60.2024,43.8655
60.2422,55.6548
60.2824,72.0279
60.3255,95.4929
60.3802,134.242
60.4768,209.696
60.5215,233.097
60.5608,240.616
60.6046,232.829
60.6601,202.873
60.7717,122.496
60.8236,93.0678
60.8702,73.2636
60.9182,57.9232
60.9746,44.4613
61.0333,33.891
61.0888,26.2943
61.1395,21.0355
61.1915,17.0968
61.2434,14.4109
61.2938,12.821
61.3294,12.2241
61.3667,12.018
61.4076,12.2512
61.462,13.2768
61.5164,15.1265
61.5799,18.4068
61.6432,23.0615
61.7065,29.3701
61.7765,38.6924
61.8493,51.4501
61.9325,70.1824
62.1459,128.158
62.2265,143.544
62.3014,149.32
62.3737,146.512
62.4822,130.618
62.7087,86.4821
62.8321,68.1161
62.9587,54.4314
63.0989,43.7789
63.2571,35.5195
63.4153,29.8191
63.5962,25.3038
63.8222,21.5896
64.0482,19.3774
64.1387,19.0022
64.2524,19.4827
64.4243,21.3919
64.4392,21.4168
64.5543,20.5166
64.6626,19.549
64.6962,19.4937
64.8043,20.1262
64.9125,21.7969
65.0259,24.8712
65.1086,28.4839
65.1845,33.5439
65.2448,39.5446
65.3034,48.0871
65.3576,59.6606
65.4042,73.5582
65.4541,93.7243
65.5084,122.379
65.6408,205.704
65.6904,227.283
65.7386,234.803
65.7814,228.732
65.8324,207.705
65.9806,116.791
66.0323,91.9837
66.0805,75.0515
66.1271,63.9562
66.1701,57.6347
66.2218,54.4873
66.2391,54.4822
66.276,56.3111
66.3224,62.4718
66.368,73.1778
66.4241,92.5178
66.5346,136.85
66.5845,148.006
66.6069,149.269
66.6545,143.354
66.703,126.825
66.8261,68.5638
66.871,51.4848
66.9103,40.074
66.9496,31.6727
66.9894,25.6133
67.0326,21.078
67.082,17.619
67.1359,15.1356
67.1898,13.4515
67.2706,11.776
67.3784,10.4056
67.4592,9.74546
67.6209,8.99899
67.7222,8.86576
67.7942,9.00442
67.8516,9.4046
67.9089,10.3771
67.9488,11.7078
67.9807,13.4054
68.0126,15.8831
68.0476,19.7346
68.0885,25.8871
68.1491,37.6691
68.2107,49.7092
68.2507,54.9531
68.2889,56.6617
68.3268,54.7858
68.3723,48.5395
68.4828,27.3662
68.5234,21.2787
68.5598,17.2559
68.5933,14.6353
68.6316,12.6402
68.6698,11.4073
68.7081,10.6788
68.7718,10.1494
68.7973,10.1096
68.8592,10.4197
68.9084,11.2489
68.9557,12.857
68.9951,15.079
69.0345,18.2815
69.0945,24.8695
69.1575,32.3186
69.2001,35.8692
69.2395,37.0003
69.2793,35.663
69.3247,31.4825
69.4288,18.2257
69.4646,14.5586
69.5021,11.7112
69.5395,9.79497
69.577,8.60901
69.6133,7.94252
69.6495,7.57477
69.7221,7.28842
69.8009,7.23695
70.1791,7.60177
70.6309,8.49131
70.9192,9.41111
71.1869,10.7546
71.3392,12.0486
71.4415,13.669
71.5394,16.304
71.714,21.7984
71.8564,25.7176
71.9349,29.4904
72.0237,36.149
72.1738,50.1845
72.2345,53.7186
72.2658,54.3047
72.3134,53.2263
72.3721,48.6579
72.4561,37.8006
72.5522,24.4493
72.6079,18.2434
72.6585,13.9453
72.7015,11.2292
72.747,9.13126
72.7976,7.52113
72.8482,6.45632
72.9115,5.63742
72.9874,5.12153
73.0784,4.88654
73.1164,4.86521
73.2302,4.97011
73.382,5.38644
73.4959,5.9434
73.5614,6.48906
73.6303,7.47777
73.6855,8.77502
73.7544,11.1177
73.8457,14.4146
73.8967,15.3095
73.9075,15.3458
73.9555,14.8042
74.0149,12.832
74.1041,9.15904
74.1545,7.67949
74.1948,6.96082
74.2485,6.53641
74.2807,6.48487
74.3773,6.75711
74.7185,8.6105
74.9524,10.3861
75.1093,12.1779
75.2075,13.838
75.3002,16.2077
75.362,18.6588
75.4161,21.9459
75.4579,25.774
75.4919,30.2179
75.5301,37.2937
75.5676,47.1319
75.6062,61.0908
75.6488,81.4672
75.7083,117.564
75.7855,165.465
75.8294,183.414
75.868,188.908
75.9061,183.639
75.9509,165.29
76.0359,111.727
76.0916,78.2313
76.131,59.5734
76.165,47.3111
76.1998,38.1006
76.2369,31.2904
76.274,26.7906
76.3203,23.3468
76.3729,21.2198
76.4409,19.9573
76.5213,19.5459
76.6604,20.299
76.7475,22.066
76.7997,24.4167
76.8406,27.5586
76.8815,32.3446
76.9265,39.8614
76.9961,55.3222
77.0643,70.1934
77.1147,76.3937
77.135,77.0904
77.1726,75.4789
77.229,67.1856
77.3418,44.3014
77.3944,36.5668
77.4395,32.1435
77.5016,28.5205
77.5956,25.7439
78.0373,18.159
78.2629,15.3038
78.4509,13.7309
78.6764,12.7447
78.8268,12.5645
79.0265,12.8544
79.2762,14.1075
79.426,15.507
79.5758,17.8373
79.6742,20.5313
79.7388,23.5545
79.7872,27.2171
79.8276,31.8832
79.868,38.8303
79.9062,48.3409
79.9429,60.9021
79.987,80.9045
80.0533,119.391
80.1275,162.134
80.1697,177.73
80.207,182.43
80.2456,177.322
80.294,158.35
80.4199,85.3588
80.4643,65.0327
80.4989,53.1703
80.5351,44.1588
80.5713,38.0388
80.6148,33.5086
80.6438,31.6889
80.7018,29.876
80.7482,29.5486
80.8177,30.3116
80.8873,32.5902
80.9453,36.2226
80.9936,41.2453
81.0419,49.1214
81.0806,58.3468
81.1192,70.957
81.1656,91.3906
81.2166,120.827
81.3512,214.282
81.3975,238.494
81.4546,252.846
81.469,253.408
81.5282,243.496
81.5998,212.49
81.7264,147.825
81.7953,121.252
81.8641,102.108
81.9467,86.3266
82.0431,73.9599
82.178,62.4513
82.339,53.4106
82.5001,47.6651
82.6377,45.3286
82.6653,45.2583
82.7547,46.6769
82.8064,49.4634
82.858,54.8809
82.901,62.3989
82.944,73.479
83.0013,94.1905
83.1085,140.879
83.1481,152.983
83.1928,158.031
83.237,152.236
83.2836,135.509
83.4124,68.2964
83.4517,51.8457
83.4884,40.1902
83.5213,32.5707
83.5543,27.2379
83.5872,23.6879
83.6267,21.1077
83.6794,19.4531
83.7585,18.8871
83.8903,19.8525
84.0678,21.7475
84.1144,21.8959
84.2276,21.0905
84.4252,17.6593
84.5242,16.8617
84.5367,16.8447
84.6116,17.1338
84.7115,18.4922
84.8224,21.3055
84.9057,24.6596
84.9795,29.2688
85.0371,34.8112
85.0832,41.2161
85.1359,51.5346
85.1904,66.1952
85.2703,94.1787
85.3734,131.317
85.4446,148.748
85.5399,158.692
85.5737,159.375
85.666,154.209
85.7515,138.292
85.933,87.4474
86.0017,73.1393
86.0842,61.3427
86.1805,52.2118
86.318,43.239
86.4372,38.0433
86.5176,36.6294
86.5658,37.4908
86.614,40.7816
86.6533,46.3027
86.6881,54.1911
86.7229,65.5875
86.7635,83.8419
86.8157,114.568
86.912,176.926
86.9622,198.253
87.0038,203.906
87.0524,195.384
87.1032,172.459
87.2184,104.82
87.2691,81.8954
87.3092,68.7402
87.3516,59.2144
87.4045,52.1355
87.4669,48.4366
87.5171,47.8388
87.5774,49.1262
87.6678,54.5086
87.8619,72.9328
87.9202,75.0444
87.9824,72.549
88.0494,64.272
88.1945,38.3841
88.2493,30.7235
88.298,25.957
88.3345,23.5918
88.3873,21.6943
88.44,21.1356
88.5192,21.8593
88.647,25.0009
89.065,39.2478
89.1987,41.2349
89.2145,41.2539
89.3172,40.1217
89.4516,35.6646
89.7676,20.675
89.8927,16.1448
89.9941,13.5799
90.0731,12.3755
90.1258,12.05
90.1784,12.2224
90.2347,13.1418
90.2769,14.4895
90.3261,16.9679
90.3754,20.5885
90.4325,26.2705
90.5869,44.7254
90.648,49.136
90.6851,49.9718
90.7316,48.8836
90.7935,44.2462
90.9654,24.836
91.0331,18.9007
91.0921,15.0816
91.1502,12.342
91.2179,10.0806
91.2856,8.52693
91.363,7.38777
91.4334,6.83241
91.5414,6.58242
91.6618,6.33866
91.7887,5.53904
91.9188,4.69583
92.0164,4.31136
92.119,4.10287
92.2216,4.05753
92.4053,4.1775
92.495,3.99616
92.6787,3.0452
92.7556,2.79856
92.8616,2.70342
92.8821,2.70282
93.0054,2.71911
93.2293,2.69743
93.3061,2.75055
93.3574,2.8977
93.4059,3.21644
93.4403,3.61021
93.4808,4.31841
93.5232,5.40418
93.5704,7.03478
93.7045,12.612
93.7611,14.1018
93.8086,14.473
93.8577,14.0258
93.9386,12.1074
94.0361,9.57588
94.105,8.36047
94.1807,7.61087
94.2816,7.23019
94.3366,7.19399
94.5017,7.49267
94.6667,8.31008
94.8043,9.5436
94.9143,11.1556
95.0106,13.3175
95.1069,16.4627
95.338,26.5234
95.4172,28.4576
95.4568,28.6512
95.536,27.391
95.7231,20.2144
95.7825,18.8817
95.8221,18.6751
95.8881,19.5628
96.0379,23.5819
96.0937,23.9918
96.172,23.1302
96.2956,21.0286
96.3832,20.5879
96.4767,20.6228
96.581,19.8215
96.6997,17.2431
96.8004,14.8395
96.8867,13.6453
96.9316,13.4779
