E(MeV)  pendfb7/Fe56:2
1.76319371e-07  12.0665575
3.34900552e-07  12.0583726
8.65654299e-07  12.0510865
0.000152652914  11.4761031
0.000330153282  10.896819
0.000523828987  10.3526029
0.000736495  9.83836768
0.00096382132  9.36558793
0.00113603245  9.06161176
0.00114381978  9.10691653
0.00114556795  9.20194736
0.00114609241  9.28786088
0.00114640231  9.37879506
0.00114671221  9.52465641
0.0011469506  9.69393049
0.00114718899  9.93267377
0.00114734791  10.1401656
0.00114750684  10.3928276
0.00114766576  10.6950928
0.00114782469  11.049643
0.00114798361  11.4564157
0.00114815843  11.9599588
0.00114896895  14.6005297
0.00114914377  15.0732793
0.00114930269  15.4159567
0.00114944572  15.6369756
0.00114958558  15.7626145
0.00114969937  15.7946732
0.0011498335  15.7501738
0.00114999719  15.5783446
0.001150145  15.3206802
0.00115030392  14.9501758
0.00115045887  14.5146708
0.00115108266  12.4576487
0.00115132104  11.7221876
0.00115154751  11.1152043
0.00115169849  10.7683238
0.00115184947  10.4687089
0.00115200442  10.2084958
0.00115216334  9.9874848
0.00115240173  9.73149073
0.00115264806  9.54365461
0.00115291029  9.40662866
0.00115325992  9.29090773
0.00115371286  9.20605397
0.00115446775  9.1361198
0.001156057  9.0764444
0.00116018905  9.02963913
0.0011872063  8.96393422
0.0014498696  8.55006367
0.00174800261  8.14641845
0.0020944286  7.74455704
0.00247759836  7.36489942
0.00286537123  7.03467914
0.00331640029  6.70177335
0.00379311889  6.39720396
0.00437402691  6.07660272
0.00500658444  5.77388924
0.00569999332  5.48487525
0.00656675443  5.16958972
0.00760686776  4.83957557
0.00876897485  4.51418218
0.0100422672  4.19136434
0.01199519  3.73517475
0.0150633736  3.03831151
0.0164507651  2.70378655
0.0177382392  2.3680944
0.0177477328  2.37550721
0.0177614792  2.36152402
0.0185562696  2.13536569
0.0192280624  1.93123525
0.0198565655  1.7268445
0.0202967746  1.57505971
0.020846753  1.37449117
0.0212898925  1.20337588
0.0216928545  1.04075121
0.0221159646  0.863307596
0.022770526  0.579422421
0.0227803482  0.576831426
0.0227847304  0.578421082
0.022786443  0.581472712
0.0227877023  0.585928808
0.0227889112  0.593159412
0.0227901201  0.604664864
0.0227910267  0.617019768
0.0227917823  0.630248147
0.0227925378  0.646416336
0.0227932934  0.665634951
0.0227945526  0.704033633
0.0227976756  0.814751656
0.0227985823  0.842087961
0.0227992371  0.857855354
0.0227999926  0.870742226
0.0228010665  0.877711733
0.0228017254  0.874995046
0.0228024104  0.866666405
0.0228029141  0.857226828
