E(MeV)  pendfb7/U235:18
1.83277466e-06  13.858978
1.84841392e-06  13.8271259
1.86886526e-06  13.81029
1.87969244e-06  13.8175028
1.88871509e-06  13.8353365
1.89773774e-06  13.8671382
1.90676039e-06  13.9171775
1.91277549e-06  13.963579
1.91879059e-06  14.0231911
1.92480568e-06  14.0992129
1.92931701e-06  14.1694908
1.93382833e-06  14.2536269
1.93833966e-06  14.3544637
1.94285098e-06  14.4755494
1.94585853e-06  14.5696669
1.94886608e-06  14.6762956
1.95187363e-06  14.7972364
1.95488118e-06  14.934548
1.95788873e-06  15.090563
1.96089628e-06  15.2678965
1.96315195e-06  15.4166165
1.96540761e-06  15.5802618
1.96766327e-06  15.7602141
1.96991893e-06  15.9579045
1.97194903e-06  16.1521967
1.97397913e-06  16.3630964
1.97600922e-06  16.5916351
1.97803932e-06  16.8387927
1.98006942e-06  17.105459
1.98224989e-06  17.4144791
1.98450555e-06  17.7595493
1.98676121e-06  18.1309331
1.98901688e-06  18.5287289
1.99127253e-06  18.9525471
1.99352819e-06  19.4014504
1.99578385e-06  19.873864
1.99803952e-06  20.3675265
2.00029518e-06  20.8794331
2.00330273e-06  21.5837454
2.0108216e-06  23.3789707
2.01406976e-06  24.1262469
2.0162352e-06  24.5994145
2.01840064e-06  25.0448721
2.02026532e-06  25.4012434
2.02182924e-06  25.6775777
2.02339317e-06  25.9308995
2.02495709e-06  26.1590581
2.02634056e-06  26.3383264
2.02814509e-06  26.5381967
2.02994962e-06  26.6974371
2.03153761e-06  26.8024035
2.03301732e-06  26.8696362
2.03553163e-06  26.9146845
2.03722789e-06  26.8953706
2.0389422e-06  26.8352949
2.0406565e-06  26.7350589
2.04246103e-06  26.587312
2.04426556e-06  26.3979296
2.04546857e-06  26.2495987
2.04739341e-06  25.9776586
2.04931824e-06  25.6661842
2.05124307e-06  25.3190333
2.0531679e-06  24.9403839
2.05521304e-06  24.5084814
2.05725817e-06  24.0514328
2.06032588e-06  23.330673
2.07037109e-06  20.8737409
2.07337864e-06  20.1630139
2.07563431e-06  19.6493925
2.07788997e-06  19.1558636
2.08014563e-06  18.6847474
2.08240129e-06  18.2376966
2.08465695e-06  17.8157512
2.08691261e-06  17.4194056
