E(MeV)  pendfb7/Na23:102
0.003016987  0.150024836
0.00303109975  0.138996567
0.0030452125  0.128873163
0.00305932525  0.119627406
0.003073438  0.111162168
0.00308755075  0.103441173
0.0031016635  0.096374463
0.00311577625  0.089925871
0.003129889  0.084017638
0.00314400175  0.078617501
0.0031581145  0.073660616
0.00317222725  0.069119718
0.00318634  0.064941748
0.00320045275  0.061104311
0.0032145655  0.057564395
0.00322867825  0.054303879
0.003242791  0.051293441
0.003261608  0.047628162
0.003280425  0.044311316
0.003299242  0.041307525
0.003318059  0.038580763
0.003336876  0.036099732
0.003355693  0.033837187
0.00337451  0.031769368
0.003393327  0.029875508
0.003412144  0.02813742
0.003430961  0.026539137
0.003449778  0.02506661
0.003468595  0.02370745
0.003487412  0.022450706
0.003525046  0.020206749
0.00356268  0.018269375
0.0035909055  0.016989454
0.003619131  0.015827405
0.0036473565  0.014781392
0.003675582  0.013826516
0.0037038075  0.012961917
0.003732033  0.012168768
0.0037602585  0.011446792
0.003788484  0.010781541
0.0038167095  0.010173079
0.003844935  0.00961017
0.003901386  0.008613936
0.00393902  0.008029516
0.003976654  0.007500304
0.004014288  0.007019697
0.004051922  0.006582038
0.004089556  0.006182459
0.00412719  0.005816756
0.004164824  0.005481279
0.004202458  0.005172852
0.004240092  0.004888701
0.004277726  0.004626394
0.00431536  0.004383793
0.004390628  0.003950378
0.004465896  0.00357581
0.00450353  0.003407384
0.004559981  0.003176205
0.004616432  0.002965233
0.004672883  0.002775175
0.004729334  0.002600831
0.004785785  0.002442857
0.004842236  0.002297275
0.004898687  0.002164677
0.004992772  0.001965947
0.00506804  0.001825528
0.005143308  0.001698966
0.005237393  0.001557859
0.005312661  0.001456484
0.005369112  0.001386671
0.00544438  0.001300787
0.00551494375  0.001227246
0.00563255  0.001116789
0.005726635  0.001038561
0.00582072  0.000967921
0.005914805  0.000903969
0.00600889  0.000845905
0.006102975  0.000793045
0.00619706  0.000744801
0.006291145  0.000700663
0.00638523  0.000660193
0.006479315  0.000623005
0.0065734  0.000588764
0.006667485  0.000557181
0.00676157  0.000527998
0.00694974  0.000475984
0.00713791  0.000431347
0.007231995  0.000411586
0.00734960125  0.000389688
0.007420165  0.000378877
0.00745544688  0.000375153
0.00748484844  0.000373737
0.00750689961  0.000375157
0.0075216738  0.000378322
0.00753280949  0.000382712
0.00754023329  0.000387372
0.00754765708  0.000394076
0.00755322492  0.000401007
0.00755879276  0.000410291
0.00756250466  0.00041837
0.00756621655  0.000428512
0.00756992845  0.000441388
0.00757271237  0.000453415
0.00757568189  0.000469219
0.00757772343  0.000482391
0.00757976498  0.000497979
0.00758180652  0.000516608
0.00758333769  0.000533068
0.00758486884  0.000552163
0.0075864  0.000574489
0.00758793115  0.000600828
0.00758895192  0.000621122
0.00758997269  0.000644061
0.00759090067  0.000667626
0.00759182864  0.000694256
0.00759275662  0.000724536
0.00759368459  0.00075922
0.00759461257  0.0007993
0.00759530855  0.000833707
0.00759600453  0.000872702
0.00759670051  0.000917384
0.00759739648  0.000969334
0.00759788368  0.00101125
0.00759837086  0.001059021
0.00759885805  0.00111424
0.00759918284  0.001156242
0.00759950763  0.001203358
0.00759983242  0.001256642
0.00760015721  0.001317397
0.00760048201  0.001387243
0.0076007256  0.001446773
0.00760096919  0.001513537
0.00760121279  0.001588711
0.00760145638  0.001673655
0.00760169997  0.001769954
0.00760194356  0.001879435
0.00760218716  0.00200421
0.00760234955  0.002097059
0.00760251195  0.002198576
0.00760269754  0.002326316
0.00760290634  0.002486703
0.00760306293  0.002619863
0.00760321953  0.00276522
0.00760337613  0.002923887
0.00760353272  0.003097063
0.00760368932  0.003286073
0.00760384591  0.003492286
0.00760400251  0.003717227
0.0076041591  0.003962463
0.00760431569  0.004229714
0.00760447229  0.004520812
0.00760462889  0.004837668
0.00760478548  0.005182299
0.00760494208  0.005556904
0.00760509867  0.005963709
0.00760525527  0.006405155
0.00760541187  0.006883724
0.00760556846  0.007402
0.00760572505  0.007962747
0.00760588165  0.008568846
0.00760600924  0.009098208
0.00760616004  0.009767421
0.00760631084  0.010486462
0.00760646164  0.011258186
0.00760661243  0.012085456
0.00760676323  0.012971354
0.00760691402  0.013918778
0.00760706482  0.014930904
0.00760721561  0.016010666
0.00760736641  0.017161279
0.00760751721  0.018385735
0.00760766801  0.019687066
0.0076078188  0.021068165
0.00760804499  0.023295948
0.00760827119  0.025719522
0.007608452  0.027803471
0.00760866284  0.030404137
0.00760887368  0.033194114
0.00760908452  0.036178486
0.00760929536  0.039361348
0.0076095062  0.042745664
0.00760971704  0.046333127
0.00760992788  0.050124016
0.00761020369  0.055387863
0.00761045926  0.060567911
0.00761080002  0.067909477
0.00761114078  0.075715342
0.0076115478  0.085578616
0.00761200215  0.097152726
0.00761348636  0.136487515
0.00761398615  0.14908673
0.00761442535  0.159345617
0.00761481912  0.167655012
0.0076151826  0.174407022
0.00761554608  0.180136184
0.00761584898  0.184042245
0.00761619732  0.187478593
0.00761653808  0.1896854
0.00761699758  0.190780925
0.00761733319  0.190196575
0.00761771939  0.188092077
0.00761802986  0.185322363
0.00761830247  0.182134774
0.00761863566  0.177338091
0.00761905972  0.16992955
0.0076194232  0.162563102
0.00761984726  0.152988989
0.00762034705  0.140674597
0.00762199785  0.097076007
0.0076224522  0.085512759
0.00762290655  0.074550831
0.00762320945  0.067652645
0.00762349343  0.061518909
0.00762377739  0.055729373
0.00762406136  0.05029744
0.00762434533  0.045231374
0.0076246293  0.040533743
0.00762486594  0.036898951
0.00762507892  0.033841991
0.00762529189  0.030984207
0.00762550487  0.028320302
0.00762571785  0.025844474
0.00762593083  0.023550019
0.0076261438  0.021429702
0.00762635678  0.0194755
0.00762656976  0.017679327
0.00762678273  0.016032817
0.00762692471  0.015014005
0.00762709036  0.013901137
0.00762727968  0.012724236
0.00762746899  0.011642955
0.0076276583  0.010651312
0.00762784761  0.009743511
0.0076279896  0.009114249
0.00762813158  0.008526701
0.00762827357  0.007978529
0.00762841555  0.007467625
0.00762855753  0.006991833
0.00762869952  0.006549077
0.00762884151  0.006137424
0.00762898349  0.005755008
0.00762912547  0.005399983
0.00762926745  0.005070616
0.00762940944  0.004765229
0.00762955143  0.004482266
0.00762969341  0.004220246
0.00762983539  0.003977723
0.00762997738  0.003753334
0.00763016669  0.003480204
0.00763030867  0.003293345
0.00763045066  0.00312065
0.00763059264  0.002961099
0.00763073463  0.00281369
0.00763094761  0.00261338
0.00763116058  0.002435526
0.00763137356  0.002277544
0.00763158654  0.002137137
0.00763179952  0.00201224
0.00763201249  0.001901016
0.00763222546  0.001801817
0.00763243844  0.001713185
0.00763265142  0.001633836
0.00763286439  0.001562636
0.00763314836  0.001478659
0.00763343233  0.001405354
0.0076337163  0.001341011
0.00763400027  0.001284198
0.00763428424  0.001233724
0.0076345682  0.001188601
