E(MeV)  pendfb7/Ni58:2
0.0133262475  36.3017233
0.0133267073  33.2692317
0.0133271671  30.5197084
0.0133276269  28.0348704
0.0133279846  26.2720375
0.0133283422  24.6479097
0.0133286998  23.1521581
0.0133290574  21.7751271
0.0133294151  20.5071276
0.0133297727  19.3399322
0.0133301303  18.264727
0.0133304879  17.2736031
0.0133309478  16.1107778
0.0133314076  15.0608709
0.0133318674  14.1108651
0.0133323272  13.2494326
0.0133327871  12.4664006
0.0133332469  11.7532958
0.0133337067  11.1022027
0.0133341665  10.506338
0.0133346774  9.90182484
0.0133351883  9.3510823
0.0133356992  8.84797689
0.0133362101  8.38719817
0.013336721  7.96413855
0.0133372319  7.57479024
0.0133379983  7.04641909
0.0133386114  6.66596961
0.0133393267  6.26334179
0.013340042  5.89964263
0.0133407572  5.57003187
0.0133414725  5.2702808
0.0133421878  4.99691586
0.0133429031  4.746924
0.0133436183  4.5177458
0.0133444869  4.26415341
0.0133455087  3.99624912
0.0133465305  3.75682584
0.0133475523  3.54201477
0.0133485741  3.34858496
0.0133495959  3.17382054
0.0133506177  3.01542526
0.0133516395  2.87144737
0.0133527124  2.73396542
0.0133538364  2.60322059
0.0133549604  2.48447857
0.0133560844  2.37635555
0.0133577704  2.23152148
0.0133594564  2.10456474
0.0133611423  1.9927438
0.0133630327  1.88258869
0.0133649231  1.78608789
0.0133668135  1.70120043
0.0133687038  1.62627994
0.0133705942  1.55996231
0.0133724845  1.50111572
0.0133762652  1.40205596
0.0133788198  1.34669174
0.0133813743  1.29897439
0.0133839288  1.25778083
0.0133864833  1.22218827
0.0133903152  1.17765528
0.0133941469  1.14195176
0.0133983619  1.1109809
0.0134033432  1.08349451
0.0134083246  1.06402921
0.0134133059  1.05090013
0.0134199477  1.04128885
0.0134253122  1.03891954
0.013431954  1.04158922
0.0134385958  1.04925712
0.0134485585  1.06828464
0.013459032  1.09620054
0.0134697611  1.13176199
0.01348049  1.17284496
0.0134927518  1.22586877
0.0135050135  1.28464225
0.0135203407  1.3655265
0.0135346461  1.4483359
0.0135489515  1.53817879
0.0135632569  1.63631371
0.0135752374  1.72653476
0.0135848932  1.80718628
0.013593342  1.8873645
0.0135987734  1.94700032
0.0136042047  2.01774233
0.013608228  2.08245266
0.0136112454  2.14262898
0.0136139611  2.21065067
0.013615671  2.26376404
0.0136173809  2.32870729
0.0136186634  2.38841053
0.0136200966  2.47133374
0.0136211024  2.54421845
0.0136218568  2.61025091
0.0136226111  2.68979919
0.0136233605  2.7875476
0.0136238533  2.86582648
0.0136243462  2.9590637
0.013624839  3.07176967
0.0136252087  3.17270478
0.0136255783  3.29122659
0.0136259479  3.43136828
