E(MeV)  pendfb7/Cr52:102
0.0016053205  0.042676366
0.00160593388  0.045235872
0.00160645963  0.047626757
0.00160698538  0.050221862
0.00160751113  0.053045953
0.00160803688  0.05612762
0.00160856263  0.059499687
0.00160908838  0.063199929
0.00160961413  0.067272227
0.00161007416  0.071180947
0.00161066563  0.076748458
0.00161105994  0.080844831
0.00161145425  0.085290056
0.00161184857  0.090125366
0.00161224288  0.095397928
0.00161263719  0.101162766
0.0016130315  0.107483754
0.00161349154  0.115661667
0.00161379823  0.121659509
0.00161410491  0.128150336
0.0016144116  0.135190787
0.00161471829  0.142845268
0.00161502498  0.151188406
0.00161533166  0.160306547
0.00161561644  0.169555933
0.00161587932  0.178846159
0.00161614219  0.188946343
0.00161640507  0.19995701
0.00161666794  0.211993361
0.00161693082  0.225191987
0.00161719369  0.239711408
0.00161745657  0.255741524
0.00161768658  0.27118186
0.00161788374  0.285608611
0.0016180809  0.301273332
0.00161827806  0.318328809
0.00161847521  0.336952785
0.00161867237  0.357357845
0.00161886952  0.379792508
0.00161906668  0.404560216
0.00161925288  0.430421278
0.00161942813  0.457296541
0.00161960338  0.487022999
0.00161977863  0.520077589
0.00161995388  0.557057396
0.00162008532  0.587816952
0.00162021675  0.62159939
0.00162034819  0.658890262
0.00162047963  0.700273278
0.00162060121  0.742815905
0.00162070307  0.782125321
0.00162080494  0.82529487
0.0016209068  0.87288538
0.00162100867  0.92557446
0.00162111053  0.984135001
0.0016212124  1.04949495
0.00162131426  1.12271069
0.00162141613  1.20504031
0.00162148404  1.26568585
0.00162155195  1.33149479
0.00162161985  1.40298328
0.00162170638  1.50324869
0.00162178524  1.60460544
0.0016218641  1.71661787
0.00162194297  1.84051744
0.00162202183  1.97760113
0.00162210069  2.12932915
0.00162217955  2.29726609
0.00162225842  2.48312123
0.00162233728  2.68865071
0.00162241614  2.91579472
0.001622495  3.16657932
0.00162256073  3.39520371
0.00162262644  3.64292437
0.00162269216  3.91116052
0.00162275788  4.20121342
0.0016228236  4.514438
0.00162288932  4.85219595
0.00162295504  5.21584345
0.00162302075  5.60665585
0.00162308648  6.02612062
0.00162315219  6.4752339
0.00162323105  7.05518844
0.00162330115  7.60966438
0.00162337125  8.20201068
0.00162344135  8.83321547
0.00162351145  9.50406188
0.00162358155  10.2150974
0.0016236867  11.3575393
0.00162378528  12.5109624
0.0016238992  13.9409028
0.00162401311  15.4698814
0.0016241555  17.5083184
0.00162430008  19.7011325
0.0016248784  28.9784546
0.00162506242  31.7585887
0.00162522014  33.9220468
0.00162536035  35.6124458
0.00162549178  36.9536677
0.00162561007  37.9302173
0.0016257196  38.6207107
0.00162583176  39.100997
0.001626  39.3719311
0.00162612618  39.215062
0.00162624535  38.7867589
0.0016263505  38.1904422
0.0016264688  37.2881289
0.00162659586  36.0676279
0.00162673168  34.5079403
0.00162687625  32.6042498
0.00162706027  29.903811
0.00162762107  20.9199436
0.00162780508  18.0803625
0.00162791023  16.5385264
0.00162801538  15.0685605
0.00162812053  13.6782767
0.00162820815  12.5847678
0.0016283133  11.353734
0.00162841845  10.2131766
0.00162848855  9.50328749
0.00162855865  8.83349395
0.00162862875  8.20324587
0.00162869885  7.61175907
0.00162877334  7.02460079
0.0016288522  6.44791699
0.00162893106  5.91558565
0.00162900992  5.42554868
0.00162908879  4.9755618
0.00162916765  4.56346072
0.00162924651  4.18685813
0.00162932537  3.8434114
0.00162939109  3.58084033
0.00162946995  3.29216543
0.00162954882  3.0301443
0.00162962768  2.79268691
0.00162970654  2.57769492
0.0016297854  2.38320861
0.00162986427  2.20735866
0.00162994313  2.04845784
0.00163002199  1.90486998
0.00163010085  1.77510149
0.00163017972  1.65776216
0.00163023886  1.5771787
0.00163030458  1.49440738
0.0016303703  1.41816798
0.00163043602  1.34788421
0.0016305346  1.25247887
0.00163063318  1.16768779
0.00163073175  1.09211661
0.00163083033  1.02453131
0.00163092891  0.963884409
0.00163102749  0.909264746
0.00163112607  0.85988807
0.00163122465  0.815080864
0.00163133418  0.769956124
0.00163144919  0.727144873
0.00163156419  0.688378091
0.00163167921  0.653100738
