E(MeV)  pendfb7/Cr52:2
0.0339739611  6.86233389
0.0339743707  6.41438348
0.0339747802  6.00133076
0.0339751898  5.62106246
0.0339755993  5.27178991
0.0339760089  4.95134015
0.0339764184  4.65787178
0.033976828  4.38927334
0.0339772376  4.14370348
0.0339776471  3.9193682
0.0339780566  3.71444323
0.0339786027  3.46849218
0.0339791488  3.25042726
0.0339796949  3.05689967
0.0339802409  2.88492153
0.033980787  2.73173567
0.0339813331  2.59498832
0.0339818792  2.47257925
0.0339824252  2.36269063
0.0339831533  2.23286488
0.0339838813  2.11924838
0.0339846094  2.01916985
0.0339853375  1.93048232
0.0339860656  1.85141541
0.0339867937  1.78052005
0.0339878859  1.6869536
0.033988978  1.60598972
0.0339902703  1.52321463
0.0339913989  1.46029058
0.0339925274  1.40452683
0.0339942202  1.33181127
0.0339959131  1.26963804
0.0339976058  1.21584433
0.0339995898  1.16129236
0.0340013008  1.12020142
0.0340038673  1.06679379
0.0340064338  1.02126242
0.0340090003  0.98206463
0.0340115668  0.948297134
0.0340140605  0.920333244
0.0340165178  0.897424906
0.0340189751  0.8791621
0.0340214324  0.865375773
0.0340238897  0.855566887
0.0340268021  0.848040134
0.0340306245  0.842794209
0.0340357211  0.840617764
0.0340444582  0.844066696
0.0340531952  0.853295095
0.0340663008  0.873958455
0.0340808626  0.902833883
0.0341056175  0.959753609
0.034134741  1.03318856
0.034192988  1.18870478
0.03432556  1.55475126
0.03433606  1.58871435
0.03433921  1.60733936
0.034340785  1.62464863
0.034341835  1.64251798
0.034342885  1.6684476
0.0343436725  1.69530591
0.03434446  1.73057513
0.0343452475  1.77643595
0.034346035  1.83532073
0.0343467569  1.90295134
0.0343473475  1.96944046
0.0343479382  2.04710903
0.0343485288  2.1368583
0.0343491194  2.23944792
0.03434971  2.35537436
0.034350235  2.46976969
0.03435076  2.59470822
0.0343515475  2.80088513
0.034352335  3.02702889
0.034353385  3.35170553
0.0343550755  3.89204631
0.034355884  4.13709616
0.034356724  4.36739133
0.034357333  4.51240009
0.0343579  4.62680469
0.03435853  4.72712085
0.034359181  4.79799316
0.0343601512  4.83711724
0.034360735  4.82130833
0.034361344  4.77385388
0.034361974  4.69314745
0.034362604  4.58298411
0.034363234  4.44694153
0.034363864  4.28926919
0.03436462  4.0781535
0.03436756  3.18085029
0.0343683475  2.95678317
0.034369135  2.75098349
0.0343699225  2.56665793
0.0343704475  2.45656511
0.0343711563  2.32445029
0.0343718257  2.21678384
0.034372495  2.12492523
0.0343731644  2.04767447
0.0343738338  1.98363862
0.0343745425  1.9285435
0.03437533  1.88043793
0.0343761175  1.84378345
0.034376905  1.81634835
0.034377955  1.79077073
0.0343789  1.77565634
0.0343806325  1.76044413
0.03438352  1.75316255
0.03438982  1.75914816
0.0344062  1.79561184
0.0344610682  1.94227875
0.0344674  1.95415583
0.0344776249  1.95898837
0.0349247  1.89727829
0.0353911  2.07188524
0.0358669  1.9022042
0.0363523  1.88152928
0.0368477  1.77378813
0.0373532  1.70210881
0.0378693  1.63972743
0.0383961  1.62442139
0.038934  1.69428352
0.0394832  1.51217452
0.0400357653  0.998526178
0.0400442  0.994647451
0.0400514792  0.997026139
0.0406172  1.4753193
0.0411993  1.39177018
0.0415927716  1.41619987
0.0416049  1.41332675
0.0416190516  1.39745831
0.0418973657  1.01280363
0.0419068  1.00299032
0.0419164493  0.999552389
0.0421996293  0.993324468
0.0422119  0.994062975
0.0425204  1.11175549
0.0428224563  1.10073916
0.0428322  1.09802028
0.0428493617  1.08339667
0.0431404802  0.792745681
0.0431528161  0.787620643
0.0434664  0.883038335
0.043780881  1.12996819
0.0437860937  1.13129795
0.0437935029  1.12710202
0.0441053903  0.623912827
0.0441123726  0.615712923
0.0441188432  0.613184088
0.0441257483  0.615276272
0.0444347483  0.802831328
0.0444443  0.804916417
0.0444517362  0.801460145
0.0447686616  0.510528058
0.0447776  0.504572759
0.0447891408  0.502483774
0.0451035703  0.512600773
0.0451096763  0.513998678
0.0451157823  0.517930676
0.0451218883  0.52505967
0.0454472121  1.04477366
0.0454556  1.05141272
0.0454622201  1.0488992
0.0457921649  0.622956612
0.0458003  0.615729843
0.0458104829  0.613304014
0.0459767281  0.631832316
0.0461435  0.655720758
0.046149875  0.660117526
0.04615625  0.667779924
0.04622  0.771087922
0.04636858  1.01754843
0.04637623  1.03244411
0.046388912  1.06493429
0.04640258  1.07585395
0.0464950819  1.22922941
0.0465048465  1.23581702
0.046513986  1.2314566
0.0466609163  1.10893411
0.046795167  1.00441445
0.0468493751  0.965079969
0.0468585  0.961924594
0.0468681007  0.964949725
0.0469667395  1.03415014
0.0470522938  1.09963515
0.047137848  1.17065756
0.0472148259  1.23940462
0.047325488  1.29116757
0.0474203413  1.34437446
0.0474835768  1.38672678
0.0476641352  1.5329778
0.0477320501  1.60000303
0.0477952856  1.67349191
0.0478532094  1.75240897
0.0479021115  1.83043031
0.0479527842  1.92716681
0.0479717549  1.95512443
0.0479759706  1.97040682
0.0479788162  1.99288942
0.0479802917  2.01305435
0.0479817672  2.04277505
0.0479832426  2.08586722
0.0479845073  2.13671288
0.0479855613  2.19095238
0.0479866152  2.25737302
0.0479876691  2.3368106
0.0479888811  2.44436292
0.0479902513  2.58497979
0.0479939083  3.00923291
0.0479953627  3.16315118
0.0479963745  3.25189473
0.0479972177  3.310003
0.0479981451  3.35408923
0.047999452  3.37662044
0.0480003563  3.36367642
0.0480012226  3.32965273
0.0480020657  3.2774691
0.048003204  3.18080137
0.0480044687  3.04564499
0.0480082207  2.57813167
0.0480094854  2.43156242
0.0480104339  2.33286735
0.0480113824  2.2455401
0.0480122917  2.17312542
0.0480132009  2.11176613
0.0480141101  2.06095091
0.0480150193  2.01982622
0.0480162024  1.97903245
0.0480173855  1.95020193
0.0480197516  1.91831485
0.0480220509  1.90721168
0.0480243502  1.90537346
0.0480657375  1.96468486
0.0480851  2.00081259
0.0480996219  2.03637389
0.0481141438  2.08328963
0.0481271167  2.1398942
0.0481336999  2.17951699
0.0481369915  2.20942571
0.0481394603  2.24315203
0.0481411061  2.27465868
0.0481427519  2.31632337
0.0481443977  2.37091071
0.0481460435  2.44108767
0.0481476893  2.52905824
0.0481493351  2.63618778
0.0481507389  2.74289951
0.0481524815  2.89395894
0.0481542242  3.06287742
0.048160533  3.73889304
0.048162695  3.95201131
0.0481643165  4.09121138
0.048165938  4.20732599
0.0481675595  4.29699748
0.0481690117  4.35350764
0.0481717468  4.40024517
0.0481735702  4.3931461
0.0481753935  4.36244159
0.0481837153  4.12489434
0.0481857718  4.08557764
0.0481888198  4.06228029
0.0481908394  4.07111374
0.048193263  4.10437405
0.0482011945  4.27653879
0.0482084718  4.35396279
0.0482099077  4.38339811
0.0482113435  4.43492394
0.0482125053  4.50001369
0.048213667  4.59265483
0.0482144415  4.67297901
0.0482154097  4.79790159
0.0482163778  4.95399851
0.0482173459  5.14572861
0.048218072  5.31571248
0.0482187981  5.51039297
0.0482195243  5.73187503
0.0482202503  5.98214156
0.0482209764  6.26333234
0.0482217025  6.57735706
0.0482224507  6.93714634
0.0482232433  7.36013816
0.0482240359  7.82751022
0.0482247923  8.31546449
0.0482257686  9.00515454
0.0482267368  9.75264714
0.0482277049  10.5568498
0.048229157  11.8462744
0.0482318678  14.3413578
0.0482328746  15.21761
0.048233804  15.9620095
0.0482347334  16.6197745
0.0482355467  17.1062477
0.0482363599  17.4949678
0.048236902  17.6939665
0.0482376765  17.8884458
0.0482386834  17.9749754
0.0482393804  17.9218887
0.0482400929  17.7724669
0.0482408365  17.5169689
0.0482414716  17.2224268
0.0482422461  16.7756598
0.0482429819  16.2717904
0.0482440274  15.4458043
0.0482451117  14.4890054
0.0482481323  11.6582419
0.0482491004  10.8068646
0.0482500685  10.0245466
0.0482507462  9.52734983
0.0482514239  9.07666024
0.0482521016  8.67527578
0.0482527793  8.32462843
0.0482535055  8.0053242
0.0482542316  7.74307794
0.0482549577  7.5350693
0.0482556837  7.37734766
0.0482564098  7.26493538
0.0482570875  7.1959348
0.0482579588  7.14996899
0.0482586123  7.14095692
0.0482597014  7.16067305
0.0482626571  7.2922
0.0482643713  7.33068766
0.0482656569  7.31371903
0.0482669424  7.25140022
0.048268228  7.14456976
0.0482696247  6.98411943
0.0482715609  6.7040989
0.0482771276  5.777752
0.0482793059  5.44751413
0.0482814842  5.15789883
0.0482836625  4.91079965
0.0482858408  4.70305095
0.048288019  4.52907711
0.0482899553  4.39775632
0.0482928597  4.23287723
0.048295764  4.09688476
0.0482996365  3.94741791
0.048303509  3.8242147
0.0483085433  3.69250601
0.0483135775  3.58467277
