24-Cr-52(n,&gamma;) ENDF/B-VII.1
33112.3,5.00541E-4
33375.5,4.91256E-4
33586.1,5.02967E-4
33691.4,5.35585E-4
33750.8,5.88871E-4
33780.6,6.46762E-4
33802.8,7.22958E-4
33820.2,8.18399E-4
33835.0,9.57268E-4
33844.9,0.001101
33854.4,0.00130313
33862.2,0.00155971
33868.6,0.00187284
33874.2,0.00228309
33879.1,0.00280271
33882.8,0.0033619
33886.3,0.00413792
33889.2,0.00507719
33891.3,0.00600851
33893.1,0.00723038
33894.5,0.00866366
33895.6,0.0103306
33896.7,0.0126705
33897.6,0.0155892
33898.4,0.0189707
33899.1,0.0235587
33899.9,0.0297793
33900.6,0.0372209
33901.3,0.048151
33902.1,0.0626618
33902.9,0.0817066
33903.6,0.106352
33904.4,0.140149
33905.3,0.187701
33906.3,0.254952
33907.4,0.352271
33908.6,0.48772
33910.1,0.69641
33914.4,1.3684
33916.3,1.5779
33918.0,1.64586
33918.0,1.6459
33919.7,1.58537
33921.4,1.41185
33924.1,0.987157
33926.5,0.61528
33927.9,0.433524
33929.0,0.32313
33930.1,0.235024
33931.0,0.17297
33931.8,0.132106
33932.6,0.100116
33933.4,0.0755226
33934.2,0.0579362
33935.0,0.0445848
33935.7,0.0345584
33936.5,0.0270983
33937.3,0.0215828
33938.0,0.0177515
33938.7,0.0146911
33939.6,0.0120423
33940.7,0.00990697
33941.8,0.00843081
33943.2,0.00707596
33944.8,0.00601581
33946.8,0.00508378
33949.5,0.00422591
33952.5,0.00352079
33956.2,0.00291753
33960.2,0.00244066
33965.1,0.00203553
33969.9,0.00174572
33977.0,0.00145169
33984.3,0.00124619
33993.3,0.00107159
34004.2,9.31025E-4
34018.6,8.11662E-4
34036.7,7.22099E-4
34058.4,6.57236E-4
34087.3,6.11607E-4
34135.5,5.88063E-4
34173.3,6.02316E-4
34198.6,6.35893E-4
34217.5,6.84762E-4
34236.4,7.71845E-4
34249.0,8.72348E-4
34259.6,0.00100885
34268.0,0.00117754
34274.9,0.00138895
34280.8,0.00165625
34285.6,0.00198596
34290.0,0.00241905
34293.1,0.00286241
34296.0,0.00344375
34298.3,0.00415101
34299.9,0.00484244
34301.3,0.0057283
34302.5,0.00689114
34303.5,0.00819104
34304.4,0.0100533
34305.2,0.012237
34306.0,0.0152351
34306.7,0.0193519
34307.4,0.0242461
34308.1,0.0304329
34308.7,0.0384196
34309.4,0.0486427
34310.2,0.0645669
34311.0,0.0853975
34311.8,0.113871
34312.7,0.152406
34313.7,0.206575
34314.8,0.281391
34316.1,0.399206
34317.9,0.594517
34321.5,1.03719
34323.4,1.20644
34325.1,1.26823
34325.3,1.26886
34326.9,1.22511
34328.5,1.10289
34331.0,0.815809
34333.6,0.494451
34335.1,0.344833
34336.3,0.248152
34337.3,0.18411
34338.2,0.138363
34339.1,0.102567
34339.9,0.0766853
34340.7,0.0583355
34341.4,0.0442835
34342.2,0.0336726
34343.0,0.0257636
34343.8,0.019927
34344.5,0.0156548
34345.3,0.0125425
34346.1,0.0102761
34347.0,0.00834414
34347.9,0.00699833
34349.1,0.00588762
34350.4,0.004984
34351.9,0.00426437
34354.1,0.00356251
34356.9,0.00296576
34360.0,0.00249079
34363.7,0.00208602
34367.9,0.00176516
34372.7,0.0014997
34379.5,0.00124875
34386.7,0.00107421
34396.9,9.08447E-4
34409.2,7.85545E-4
34425.7,6.89107E-4
34444.1,6.22498E-4
34474.9,5.61689E-4
34511.8,5.24763E-4
34577.5,4.93042E-4
34708.8,4.70759E-4
35033.2,4.5376E-4
35777.3,4.46189E-4
38115.6,4.52733E-4
40453.8,4.80926E-4
42309.3,5.3358E-4
43616.7,6.01938E-4
44534.0,6.79622E-4
45354.5,7.88268E-4
46046.9,9.32759E-4
46580.8,0.00110411
46996.1,0.00130509
47304.6,0.00153392
47482.6,0.00174075
47613.1,0.00199118
47687.2,0.00223815
47731.7,0.00247948
47771.8,0.00283108
47798.5,0.00321377
47821.8,0.00374801
47838.5,0.00434688
47852.8,0.00512374
47865.0,0.0061407
47875.0,0.00740176
47882.8,0.00884175
47889.3,0.0105508
47895.6,0.0129376
47900.8,0.0157857
47905.0,0.019007
47908.5,0.0228426
47911.5,0.027239
47914.2,0.03268
47916.4,0.0389188
47918.6,0.047648
47920.4,0.0574385
47922.1,0.0700674
47923.7,0.0875654
47925.2,0.109159
47926.8,0.139063
47928.3,0.179717
47929.9,0.23332
47931.5,0.305698
47933.5,0.416567
47936.3,0.618154
47940.8,0.949547
47943.0,1.06546
47945.4,1.1088
47947.7,1.06582
47950.1,0.938749
47956.6,0.45997
47958.6,0.335555
47960.4,0.250716
47962.1,0.189627
47963.7,0.146572
47965.2,0.114466
47966.8,0.0908452
47968.4,0.0725007
47970.3,0.0580607
47972.3,0.0471551
47974.5,0.0386742
47977.2,0.0315888
47979.9,0.0264389
47983.5,0.0217358
47987.7,0.0178102
47992.6,0.0146696
47998.1,0.0122033
48004.6,0.0102255
48013.0,0.00853411
48023.0,0.00724146
48034.4,0.00632725
48050.1,0.00563117
48068.8,0.00527553
48081.3,0.00522905
48100.2,0.00539509
48119.1,0.00587147
48136.1,0.00665449
48151.5,0.00782508
48162.5,0.00910193
48173.5,0.0109907
48182.8,0.0133524
48190.7,0.0163278
48196.9,0.0196374
48202.9,0.0242481
48208.2,0.0300807
48212.7,0.0372774
48216.3,0.0451427
48219.8,0.0562311
48222.7,0.0692261
48225.3,0.0860491
48227.6,0.106342
48229.6,0.131162
48231.5,0.1626
48233.4,0.204649
48235.4,0.264509
48237.4,0.343024
48239.8,0.464515
48243.6,0.7001
48247.6,0.953827
48250.3,1.06822
48252.5,1.09949
48254.5,1.07316
48257.0,0.97678
48260.9,0.737107
48265.0,0.476096
48267.5,0.35076
48269.7,0.264028
48271.6,0.205112
48273.6,0.161155
48275.6,0.129207
48277.7,0.104267
48279.7,0.0859709
48282.4,0.0691759
48285.5,0.055495
48288.7,0.0454544
48292.4,0.0370267
48296.9,0.0300712
48302.1,0.0242389
48308.2,0.0196256
48314.9,0.0160576
48322.1,0.0133858
48330.0,0.0112944
48339.4,0.00951052
48350.8,0.00802597
48364.6,0.00680189
48380.3,0.00587793
48402.4,0.00505714
48429.5,0.00446049
48464.1,0.00403136
48514.5,0.00373341
48585.0,0.00360615
48605.1,0.00360271
48751.2,0.00379363
48917.4,0.00427331
49118.6,0.00514095
49309.5,0.00626206
49520.5,0.00792614
49761.6,0.0104942
50002.7,0.0136422
50072.8,0.0150492
50083.6,0.015686
50090.3,0.0166522
50093.0,0.0176618
50095.0,0.0192462
50096.7,0.0217475
50098.1,0.0251318
50099.2,0.0296754
50100.4,0.0360637
50101.4,0.044355
50102.5,0.0556167
50103.7,0.0723232
50104.8,0.0945677
50106.1,0.126318
50107.4,0.168366
50109.0,0.234342
50111.2,0.346329
50115.4,0.578898
50117.6,0.666834
50119.7,0.704062
50120.0,0.704762
50122.0,0.679101
50124.2,0.595677
50128.4,0.367487
50130.6,0.251274
50132.3,0.178551
50133.7,0.132018
50135.0,0.0987122
50136.2,0.0753526
50137.3,0.059193
50138.3,0.0470279
50139.4,0.0380663
50140.5,0.0315996
50141.8,0.0262793
50143.0,0.0228335
50144.7,0.0200995
50146.9,0.0183554
50150.3,0.0172005
50157.1,0.0164488
50174.2,0.0159632
50187.9,0.0158843
50390.5,0.0165131
50552.5,0.0158525
50779.4,0.0134145
51131.8,0.00907103
51338.4,0.00711504
51541.0,0.00565626
51743.6,0.0045804
51946.1,0.00377149
52189.2,0.00306203
52472.8,0.00247605
52796.9,0.00201065
53161.5,0.00165317
53566.6,0.00138649
54052.8,0.00117963
54538.9,0.00105457
55025.1,9.91882E-4
55268.1,9.83338E-4
55673.3,0.00101166
55997.4,0.00109144
56240.4,0.00121417
56402.5,0.00134333
56524.0,0.00147914
56686.1,0.00173735
56807.6,0.00203123
56907.4,0.00238713
57007.1,0.00288564
57102.9,0.00360264
57180.5,0.0044723
57244.8,0.00550447
57301.1,0.00679495
57353.4,0.00849818
57395.6,0.0104375
57430.8,0.0126418
57466.0,0.0156529
57497.7,0.0194015
57525.8,0.0239815
57553.5,0.0302056
57577.6,0.0377271
57601.2,0.047901
57621.3,0.059709
57641.1,0.0751677
57662.2,0.0972141
57688.0,0.132574
57719.4,0.177998
57735.5,0.191438
57743.3,0.193229
57758.0,0.18736
57779.3,0.162266
57818.1,0.105415
57839.5,0.0811355
57859.6,0.0639228
57879.7,0.0510637
57902.3,0.0404125
57927.5,0.0318797
57954.6,0.0252873
57981.8,0.0205099
58009.9,0.0168449
58045.1,0.0134997
58080.3,0.0110719
58122.5,0.0089521
58169.8,0.00725501
58226.1,0.00581919
58282.4,0.00479636
58354.8,0.0038652
58435.2,0.00314545
58515.6,0.00263301
58612.1,0.00219403
58708.7,0.00187809
58837.3,0.00157808
58990.2,0.00133551
59191.2,0.00112009
59432.5,9.55599E-4
59754.2,8.19455E-4
60156.4,7.17741E-4
60719.4,6.36932E-4
61523.7,5.76213E-4
62810.6,5.33471E-4
64821.3,5.16265E-4
67475.5,5.33058E-4
67953.5,5.46855E-4
68086.6,5.75321E-4
68131.0,6.16723E-4
68151.8,6.64924E-4
68165.6,7.27209E-4
68176.0,8.12733E-4
68183.0,9.08863E-4
68188.4,0.00102815
68192.2,0.00116555
68195.1,0.00134178
68197.0,0.00154219
68198.4,0.00177884
68199.6,0.00207052
68200.8,0.00249406
68201.8,0.00296944
68202.8,0.00367426
68203.8,0.00464771
68204.9,0.00598261
68205.9,0.00779555
68207.0,0.0102295
68208.0,0.013455
68209.0,0.0176693
68210.1,0.0230928
68211.1,0.0302478
68212.4,0.0406742
68213.7,0.055722
68215.2,0.0758713
68216.8,0.103522
68219.0,0.148671
68224.8,0.289283
68227.4,0.334497
68229.8,0.3505
68230.0,0.350567
68232.2,0.338976
68234.4,0.306512
68237.7,0.231414
68241.6,0.136538
68243.7,0.0950103
68245.3,0.0689901
68246.7,0.0502731
68247.9,0.0378138
68249.2,0.0280246
68250.2,0.0213442
68251.3,0.0161415
68252.4,0.0122815
68253.4,0.00934115
68254.4,0.00713212
68255.5,0.00549316
68256.5,0.00429041
68257.5,0.00341558
68258.7,0.00272494
68259.8,0.00224507
68261.0,0.00191089
68262.4,0.00163795
68264.2,0.00140719
68266.5,0.0012338
68270.2,0.00107316
68274.9,9.50579E-4
68282.6,8.29452E-4
68292.3,7.432E-4
68303.9,6.83286E-4
68327.1,6.2219E-4
68356.1,5.90146E-4
68420.1,5.66531E-4
68505.5,5.54454E-4
68733.2,5.50745E-4
71781.5,6.13099E-4
74127.7,6.88041E-4
76461.8,7.90693E-4
78456.2,9.21509E-4
78636.0,9.61383E-4
78698.4,0.00101224
78727.4,0.00107452
78749.1,0.001178
78762.1,0.00130652
78771.7,0.00148261
78778.1,0.0016895
78782.1,0.00191257
78784.9,0.00218812
78786.9,0.00252799
78788.3,0.00290465
78789.5,0.00337937
78790.8,0.00406049
78792.0,0.00504011
78793.0,0.00624084
78794.1,0.00787747
78795.2,0.0100911
78796.2,0.0130554
78797.3,0.016981
78798.4,0.0223239
78799.6,0.0295501
78800.7,0.0388857
78801.8,0.0507431
78803.2,0.0683139
78804.6,0.0926146
78806.2,0.126489
78808.2,0.179033
78810.9,0.266262
78816.3,0.459382
78818.9,0.526864
78821.5,0.554867
78821.8,0.555248
78824.3,0.535355
78826.7,0.479917
78830.6,0.347126
78834.3,0.216842
78836.5,0.149289
78838.3,0.107798
78839.8,0.0791159
78841.2,0.0587507
78842.4,0.0444868
78843.6,0.0336331
78844.7,0.025472
78845.9,0.0192105
78846.9,0.0148954
78847.9,0.0115842
78849.0,0.00907167
78850.0,0.00718359
78851.0,0.00577682
78852.2,0.00463857
78853.3,0.003828
78854.7,0.00315771
78856.3,0.00265051
78858.1,0.00228957
78859.9,0.00206102
78862.7,0.00184504
78866.3,0.00166805
78873.4,0.00145888
78882.3,0.0013095
78893.0,0.00120454
78914.3,0.00109654
78941.0,0.00103915
78999.6,9.97993E-4
79077.7,9.79251E-4
80289.1,0.00106832
82308.0,0.00130404
83923.1,0.00157282
85538.2,0.00195169
86951.4,0.00242436
88162.8,0.00299322
89172.2,0.00364188
90181.7,0.00453305
91090.2,0.00562463
91998.7,0.00711696
92830.2,0.00899442
93661.7,0.0115367
94304.2,0.0142064
94568.8,0.0159749
94682.2,0.017523
94738.9,0.019054
94776.7,0.0208776
94807.8,0.0235135
94826.3,0.0260508
94844.7,0.0300243
94858.9,0.0348592
94869.7,0.0404426
94879.2,0.0475477
94887.3,0.0564282
94894.8,0.0681286
94901.1,0.0824336
94907.4,0.10231
94913.2,0.12805
94918.9,0.162214
94926.0,0.218348
94937.1,0.317127
94943.3,0.351964
94946.8,0.357587
94951.7,0.346879
94958.3,0.303047
94972.0,0.182973
94977.8,0.142843
94983.7,0.112907
94989.6,0.0913139
94995.4,0.0757833
95003.0,0.0617894
95010.5,0.0521386
95020.6,0.0433689
95032.8,0.0365792
95045.9,0.0318728
95061.1,0.0283115
95085.4,0.0248371
95115.7,0.0225285
95140.0,0.021439
95204.7,0.0199903
95309.9,0.0193491
95350.3,0.0192944
95981.4,0.0210458
96693.4,0.0225985
96920.0,0.022705
97534.9,0.0219371
98376.3,0.0189425
99865.0,0.0124872
100739.0,0.00955826
101548.0,0.00750671
102357.0,0.00599632
103166.0,0.00485933
104137.0,0.00386905
105108.0,0.00317779
105593.0,0.00298427
105755.0,0.00295167
105937.0,0.00303757
106038.0,0.00321927
106099.0,0.0034179
106160.0,0.00381132
106210.0,0.0044293
106241.0,0.00507969
106267.0,0.00598435
106286.0,0.00694939
106304.0,0.00829296
106319.0,0.0100179
106332.0,0.0121299
106343.0,0.0148947
106352.0,0.0179613
106359.0,0.0216255
106367.0,0.0265694
106373.0,0.0330456
106379.0,0.0405085
106383.0,0.0497593
106387.0,0.0604841
106391.0,0.074088
106394.0,0.0902293
106397.0,0.112138
106400.0,0.139602
106404.0,0.180868
106407.0,0.235301
106410.0,0.315145
106415.0,0.452475
106423.0,0.681491
106427.0,0.759931
106431.0,0.781633
106434.0,0.755875
106439.0,0.663055
106449.0,0.357422
106453.0,0.263086
106456.0,0.199763
106459.0,0.158019
106462.0,0.126227
106465.0,0.100831
106468.0,0.082121
106472.0,0.0674028
106475.0,0.0552964
106480.0,0.045115
106484.0,0.0371014
106490.0,0.0301333
106497.0,0.0246598
106504.0,0.0202511
106513.0,0.0163634
106523.0,0.0133702
106533.0,0.0112511
106545.0,0.00946745
106560.0,0.00795696
106576.0,0.00676682
106596.0,0.00571541
106621.0,0.00487931
106647.0,0.00429522
106685.0,0.00374406
106733.0,0.00330249
106796.0,0.00296428
106879.0,0.00270007
107011.0,0.00246513
107260.0,0.00223709
107725.0,0.00200781
108903.0,0.00166502
109441.0,0.00157174
109615.0,0.00163311
109676.0,0.00177222
109704.0,0.00195285
109718.0,0.00212977
109730.0,0.00237448
109739.0,0.00270004
109746.0,0.00309523
109751.0,0.0035052
109754.0,0.00398265
109757.0,0.00462974
109759.0,0.00535462
109761.0,0.00638458
109763.0,0.00778278
109765.0,0.00963409
109766.0,0.0119571
109767.0,0.0151676
109769.0,0.0195664
109770.0,0.0246873
109771.0,0.0324126
109773.0,0.0421316
109774.0,0.054681
109775.0,0.0706369
109777.0,0.0944162
109778.0,0.128141
109780.0,0.176268
109782.0,0.2422
109785.0,0.34183
109788.0,0.530676
109793.0,0.775036
109797.0,0.899058
109800.0,0.94423
109800.0,0.944695
109803.0,0.91344
109806.0,0.825904
109810.0,0.616108
109815.0,0.36717
109817.0,0.255898
109820.0,0.182603
109821.0,0.134595
109823.0,0.099431
109825.0,0.0750053
109826.0,0.0560427
109827.0,0.0420038
109829.0,0.0317158
109830.0,0.0246863
109831.0,0.0193298
109833.0,0.015289
109834.0,0.0119827
109835.0,0.00960385
