94-Pu-240(n,elastic) ENDF/B-VII.1
200.202,10.3046
200.757,9.86978
204.623,9.39347
230.044,8.04844
233.925,7.59385
235.663,7.177
236.77,6.66093
237.301,6.22668
237.832,5.48859
238.143,4.74476
238.373,4.04799
238.419,3.99766
238.478,4.12949
238.516,4.42879
238.554,5.00149
238.586,5.77504
238.618,6.91063
238.65,8.5104
238.682,10.688
238.717,13.8936
238.752,18.0996
238.79,23.9875
238.833,32.1635
238.881,43.7995
238.959,66.6659
239.082,104.427
239.155,120.482
239.221,126.49
239.233,126.594
239.292,122.824
239.372,108.026
239.56,57.4388
239.627,42.8714
239.685,33.4824
239.736,27.2999
239.787,22.825
239.847,19.2382
239.904,16.9955
239.973,15.2799
240.088,13.6703
240.282,12.3046
240.588,11.1818
241.037,10.3036
241.895,9.47991
243.12,8.91838
246.43,8.2272
254.22,7.03873
256.149,6.47127
257.416,5.82046
258.242,5.08395
258.738,4.37404
259.068,3.68525
259.343,2.901
259.533,2.30599
259.605,2.20466
259.653,2.28755
259.689,2.49964
259.722,2.86458
259.75,3.35194
259.777,4.06052
259.805,5.0567
259.832,6.42058
259.858,8.11703
259.886,10.5592
259.915,13.7341
259.946,18.2041
259.977,23.9167
260.011,31.9602
260.049,43.1514
260.094,59.8614
260.148,85.0655
260.219,126.413
260.372,222.37
260.448,255.429
260.517,267.504
260.522,267.597
260.584,260.351
260.645,239.584
260.744,186.853
260.861,119.124
260.929,87.4145
260.985,66.4096
261.039,51.4526
261.09,40.8082
261.142,33.1926
261.194,27.8642
261.254,23.6797
261.326,20.5039
261.409,18.2717
261.546,16.0923
261.712,14.5266
261.987,12.9254
262.386,11.5756
263.006,10.4101
263.779,9.59336
265.353,8.6999
268.522,7.7663
275.572,6.12399
278.115,5.25672
280.149,4.26102
281.506,3.33428
282.565,2.38633
283.423,1.44597
284.176,0.564902
284.377,0.359694
284.504,0.250938
284.599,0.185395
284.674,0.146986
284.732,0.126349
284.769,0.11833
284.811,0.114698
284.859,0.118555
284.903,0.130707
284.949,0.153035
284.997,0.18842
285.044,0.237913
285.097,0.311982
285.153,0.414902
285.209,0.548105
285.267,0.726152
285.331,0.974303
285.394,1.29086
285.463,1.72934
285.534,2.31717
285.606,3.07838
285.678,4.06623
285.749,5.35563
285.821,7.05576
285.888,9.17758
285.947,11.6416
286.007,14.9005
