92-U-234(n,&gamma;) ENDF/B-VII.1
110.743,161.872
110.776,222.486
110.814,311.719
110.865,461.667
110.957,749.295
111.003,854.847
111.05,904.697
111.06,906.205
111.104,875.201
111.151,780.82
111.227,550.36
111.293,347.276
111.334,243.88
111.367,177.39
111.396,132.522
111.424,98.346
111.449,74.7358
111.474,56.7381
111.5,43.2576
111.524,33.5399
111.549,26.3726
111.573,21.1123
111.598,17.2506
111.627,13.9223
111.661,11.2896
111.699,9.26413
111.743,7.62132
111.799,6.21474
111.867,5.04624
111.939,4.14459
112.023,3.38936
112.121,2.75177
112.236,2.21627
112.371,1.7717
112.516,1.42976
112.673,1.16452
112.847,0.950802
113.043,0.775145
113.25,0.639375
113.524,0.510293
113.799,0.418237
114.107,0.34319
114.465,0.280089
114.852,0.231091
115.328,0.188516
115.863,0.153863
116.488,0.125503
117.112,0.105375
117.826,0.0886703
118.599,0.0755537
119.551,0.0641216
120.741,0.0540623
122.168,0.045863
123.595,0.0405257
125.499,0.0359842
127.878,0.0331097
129.781,0.0324644
131.455,0.0330182
133.129,0.0347471
135.222,0.0391019
136.897,0.0454003
138.152,0.0528813
139.199,0.0624019
139.984,0.0726032
140.769,0.0868
141.475,0.105845
142.024,0.127384
142.525,0.155454
142.96,0.190467
143.333,0.23228
143.643,0.282047
143.91,0.341349
144.161,0.419494
144.368,0.509061
144.565,0.627904
144.737,0.774091
144.885,0.948894
145.013,1.15857
145.134,1.43441
145.23,1.73952
145.319,2.12911
145.393,2.58392
145.452,3.09582
145.501,3.70268
145.545,4.50037
145.58,5.40153
145.61,6.51162
145.64,8.07296
145.666,9.92663
145.692,12.4419
145.718,15.8476
145.744,20.4307
145.77,26.5371
145.795,34.5708
145.821,44.98
145.849,59.3072
145.879,79.2898
145.91,105.017
145.947,143.059
145.991,199.94
146.13,413.411
146.19,481.077
146.244,505.716
146.25,505.945
146.299,488.804
146.349,441.187
146.427,325.696
146.508,201.647
146.552,144.484
146.59,104.915
146.624,76.5522
146.653,57.9064
146.681,43.9202
146.709,33.1392
146.733,25.7814
146.758,20.2435
146.783,15.7192
146.809,12.3554
146.835,9.86954
146.861,8.03622
146.889,6.59784
146.922,5.3723
146.961,4.39364
147.005,3.63672
147.051,3.09375
147.112,2.57363
147.186,2.13266
147.27,1.77301
