94-Pu-241(n,&gamma;) ENDF/B-VII.1
36.0317,1.9055
36.0602,2.18353
36.0884,2.61473
36.1181,3.2799
36.1513,4.30206
36.232,7.27702
36.2631,8.00922
36.2872,8.19463
36.3128,7.98145
36.342,7.27556
36.3973,5.20243
36.438,3.70181
36.4683,2.83386
36.4963,2.24364
36.5215,1.86935
36.5503,1.57993
36.5791,1.3935
36.6151,1.25012
36.6583,1.1508
36.7158,1.07849
36.8367,1.02036
36.877,1.0162
37.0451,1.05171
37.2133,1.1644
37.3975,1.38249
37.6071,1.7446
37.7153,2.02205
37.7844,2.3217
37.8304,2.65909
37.8707,3.13973
37.9041,3.76534
37.9352,4.63368
37.9629,5.72094
37.994,7.37658
38.032,10.0408
38.1109,16.4398
38.1501,18.5238
38.1766,18.9882
38.211,18.3275
38.2515,16.1118
38.3179,11.629
38.3481,10.1618
38.3843,9.14124
38.435,8.62844
38.492,8.0537
38.5313,7.17476
38.616,4.68464
38.6479,3.97711
38.6835,3.46121
38.713,3.23167
38.748,3.13472
38.7947,3.20569
38.8647,3.59284
38.9292,4.22541
38.9841,5.05168
39.0321,6.11304
39.0733,7.40985
39.1124,9.12985
39.1508,11.4607
39.1885,14.5347
39.2338,19.3528
39.3359,32.3226
39.3798,36.1685
39.4177,37.3461
39.4545,36.421
39.5083,32.3963
39.5577,28.057
39.5989,25.723
39.6195,25.395
39.6492,26.2433
39.6766,28.6735
39.704,32.9053
39.7344,39.8161
39.7751,52.2661
39.845,75.8044
39.8867,84.4066
39.9083,85.6571
39.9403,83.0082
39.9758,74.5166
40.0775,38.4667
40.1089,29.4415
40.1386,22.7687
40.1683,17.7806
40.1964,14.3371
40.2261,11.7066
40.2591,9.654
40.2967,8.05712
40.3383,6.87299
40.3858,5.9756
40.4452,5.26141
40.5033,4.82486
40.6063,4.39123
40.8915,3.68889
41.3087,2.16591
41.4672,1.73262
41.6124,1.44523
41.7774,1.22095
41.9425,1.08292
42.1075,1.02462
42.1405,1.02404
42.2254,1.04541
42.3103,1.11341
42.374,1.21497
42.4377,1.39297
42.4872,1.62078
42.5294,1.9122
42.5717,2.32753
42.6174,2.94667
42.6857,4.15792
42.7566,5.38994
42.8,5.81166
42.8225,5.87098
42.8675,5.64156
42.9264,4.80158
43.0137,3.29871
43.0573,2.74463
43.0995,2.41506
43.1277,2.32548
43.1586,2.37612
43.1748,2.48222
43.1949,2.71283
43.2183,3.16094
43.2384,3.74389
43.2584,4.55729
43.2811,5.80915
43.3064,7.67253
43.336,10.4632
43.4125,19.0059
43.4453,21.6434
43.4748,22.6267
43.4786,22.6406
43.5072,21.9074
43.5375,19.6907
43.5907,13.8017
43.6322,9.20306
43.6601,6.69504
43.6841,5.01212
43.7064,3.8222
43.7265,3.01873
43.7473,2.40261
43.7697,1.931
43.792,1.6012
43.8143,1.37002
43.8441,1.16163
