92-U-238(n,elastic) ENDF/B-VII.1
598.912,16.7888
600.151,15.1495
601.968,13.8424
605.758,12.4779
615.122,10.3827
616.985,9.45485
617.86,8.58171
618.393,7.64601
618.822,6.70788
618.852,6.7009
618.942,6.8685
619.002,7.22653
619.077,8.12389
619.137,9.36204
619.196,11.2369
619.256,13.9322
619.318,17.7601
619.384,23.3294
619.458,31.3942
619.544,43.6623
619.664,64.9293
619.889,108.044
620.011,124.074
620.123,129.238
620.221,125.451
620.325,114.149
620.541,78.406
620.681,56.0472
620.791,42.4747
620.883,34.0987
620.974,28.0976
621.074,23.6851
621.174,20.8549
621.307,18.6045
621.506,16.8507
621.852,15.3837
622.198,14.5438
623.182,13.2565
626.8,11.2404
627.51,10.559
627.747,10.482
627.895,10.8536
628.043,11.8997
628.198,13.9575
628.57,20.7522
628.719,22.0998
628.774,22.1923
628.93,21.3178
629.345,15.8801
629.493,14.5305
629.715,13.3905
629.937,12.8623
630.824,12.1421
634.301,11.3415
648.0,9.64079
652.395,8.61168
654.901,7.54097
656.484,6.40656
657.558,5.21351
658.237,4.15195
658.807,2.99433
659.433,1.51876
659.547,1.31834
659.631,1.23776
659.66,1.233
659.707,1.26047
659.763,1.37317
659.81,1.56095
659.857,1.86846
659.9,2.28366
659.942,2.87328
659.985,3.69094
660.027,4.80438
660.069,6.29796
660.113,8.3383
660.152,10.6994
660.197,14.2048
660.242,18.8012
660.287,24.6969
660.338,33.2192
660.393,45.0626
660.445,59.6391
660.506,80.6997
660.574,110.752
660.649,152.736
660.736,212.273
660.867,321.793
661.079,504.202
661.199,577.941
661.315,607.431
661.335,607.804
661.433,589.834
661.553,528.214
661.776,355.521
661.923,245.257
662.025,183.887
662.118,140.231
662.208,108.591
662.293,86.9446
662.378,71.3622
662.477,58.7758
662.59,49.3301
662.717,42.5099
662.882,36.9047
663.117,31.9242
663.4,28.1123
663.852,24.2881
664.455,21.2399
665.36,18.6033
666.497,16.7212
668.557,14.8981
671.871,13.4592
677.286,12.3247
677.618,12.3312
686.641,10.6592
689.181,9.68491
690.431,8.67479
691.083,7.72378
691.784,6.10018
691.865,6.06268
691.945,6.24114
692.024,6.79415
692.09,7.71007
692.143,8.87046
692.196,10.5341
692.256,13.1709
692.313,16.671
692.375,21.6264
692.442,28.7951
692.515,38.9094
692.599,53.4737
692.711,77.717
692.973,140.449
693.102,161.596
693.215,168.573
693.224,168.607
693.322,163.987
693.446,146.907
693.794,74.8572
693.906,56.477
694.008,43.8954
694.09,36.4606
694.191,29.8704
694.293,25.535
694.415,22.301
694.538,20.3502
694.782,18.2344
695.255,16.3058
696.003,14.8158
697.331,13.5598
700.177,12.3761
704.575,11.0907
706.095,10.1546
706.843,9.10349
707.126,8.65269
707.183,8.6502
707.296,8.90874
707.398,9.66888
707.475,10.7712
707.551,12.5168
707.627,15.083
707.704,18.6258
707.789,23.8246
707.902,32.7715
708.216,62.0857
708.35,70.2309
708.458,72.4078
708.572,70.0903
708.701,62.7446
709.029,36.8868
709.148,29.5859
709.256,24.7023
709.369,21.1428
709.511,18.4002
709.652,16.8593
709.876,15.6289
710.375,14.5536
711.672,13.2627
714.686,12.3794
720.635,11.4898
720.987,11.9509
721.194,12.869
721.631,15.5206
721.77,15.809
722.011,15.2241
722.467,12.9644
722.809,12.2213
724.529,11.7602
729.595,11.1741
730.216,11.704
730.563,11.9579
731.525,11.6365
732.114,12.0046
732.562,12.4178
733.406,11.5358
738.198,11.2149
742.397,11.0847
743.057,11.0955
755.606,10.6581
755.955,10.6591
761.339,10.2454
763.294,9.71204
764.028,9.1796
764.247,9.39648
764.379,9.98274
764.493,10.9458
764.626,12.7279
764.822,16.5482
765.075,21.7044
765.232,23.4518
765.294,23.6514
765.447,22.9379
765.672,19.7751
765.938,15.7195
766.107,13.9611
766.327,12.6784
766.694,11.8486
767.511,11.3081
770.822,10.7618
778.077,10.3869
779.338,10.7568
780.509,10.2881
787.943,9.73802
789.148,9.3696
789.756,9.00214
789.994,9.14634
790.18,9.81561
790.343,11.0598
790.574,13.797
790.835,16.8948
791.005,17.7865
791.035,17.814
791.168,17.4802
791.444,15.2593
791.693,13.1208
791.892,12.0115
792.228,11.1414
793.045,10.5797
796.807,10.0353
809.477,9.09163
812.89,8.62141
816.134,7.78826
817.569,7.07744
818.645,6.17061
819.34,5.21241
819.901,4.05423
820.086,3.69528
820.163,3.63491
820.24,3.69999
820.301,3.9017
820.363,4.30732
820.422,4.96687
820.478,5.93588
820.534,7.34758
820.59,9.33215
820.643,11.8853
820.702,15.6407
820.764,20.8453
820.825,27.5859
820.893,36.9487
820.971,50.8014
821.066,71.9656
821.183,103.981
821.461,188.701
821.6,219.119
821.722,230.557
821.741,230.841
821.851,224.657
821.99,200.147
822.367,99.3384
822.484,74.1285
822.591,56.532
822.689,44.5533
822.787,35.9733
822.871,30.7391
822.983,25.9673
823.12,22.3782
823.255,20.2314
823.513,17.8829
823.895,15.9853
824.53,14.2251
825.466,12.864
826.905,11.7667
829.935,10.6578
842.094,8.35729
845.086,7.39786
846.951,6.56681
848.335,5.01908
848.943,4.06164
849.449,3.06642
849.575,2.9534
849.646,3.00727
849.702,3.15604
849.772,3.54198
849.829,4.07899
849.885,4.89751
849.941,6.08865
849.997,7.76201
850.054,10.0453
850.113,13.2564
850.174,17.7066
850.236,23.4748
850.304,31.502
850.383,43.4178
850.473,60.7386
850.592,88.8245
850.902,172.984
851.044,199.965
851.174,209.468
851.187,209.502
851.299,203.04
851.445,178.728
851.806,90.5639
851.927,66.486
852.034,49.9457
852.132,38.6029
852.217,31.4
852.315,25.3354
852.414,21.1525
852.513,18.2449
852.633,15.9044
852.776,14.0528
853.015,12.0673
853.418,9.84532
