94-Pu-239(n,elastic) ENDF/B-VII.1
236.468,11.5452
238.205,9.49037
238.75,8.35353
238.828,8.5387
238.905,9.18056
238.986,10.5566
239.074,12.9721
239.276,19.8626
239.369,21.6615
239.413,21.9073
239.487,21.4526
239.609,19.0471
239.792,14.945
239.925,13.1097
240.046,12.1804
240.308,11.2139
240.939,10.2127
241.926,8.96008
242.322,8.10163
242.56,7.45729
242.612,7.42018
242.692,7.59931
242.752,8.02809
242.821,8.9204
242.903,10.6081
243.141,17.2276
243.235,18.715
243.288,18.9567
243.367,18.5693
243.546,15.8426
243.689,13.7083
243.844,12.2439
243.995,11.4541
244.195,10.8366
244.723,9.94353
246.813,7.72915
247.558,6.57516
247.926,6.3075
248.156,5.72212
248.327,5.2372
248.356,5.22155
248.416,5.36763
248.461,5.72883
248.506,6.43203
248.546,7.47658
248.586,9.04472
248.627,11.2759
248.667,14.3078
248.711,18.706
248.763,25.4535
248.829,36.1463
249.008,70.1315
249.085,80.1457
249.153,83.3346
249.16,83.3357
249.229,80.1087
249.31,70.2182
249.501,38.4099
249.568,29.5963
249.63,23.2319
249.693,18.633
249.756,15.4471
249.81,13.5415
249.896,11.5195
250.004,9.96468
250.197,8.18822
250.529,5.88115
250.603,5.5223
250.658,5.41969
250.714,5.61483
250.76,6.18116
250.799,7.12286
250.834,8.45944
250.868,10.4367
250.903,13.2457
250.938,17.104
250.972,22.2463
251.008,29.2113
251.045,38.0653
251.089,51.9876
251.138,70.842
251.207,103.983
251.364,187.992
251.438,216.63
251.508,228.702
251.521,229.113
251.594,220.732
251.667,196.473
251.873,101.43
251.937,77.3793
251.993,61.2775
252.047,49.3332
252.101,40.5961
252.156,34.37
252.21,29.9885
252.275,26.3935
252.366,23.2193
252.493,20.5593
252.696,18.0595
252.998,15.8511
253.523,13.564
254.429,10.4224
254.486,10.3837
254.616,10.7948
254.787,12.3694
254.938,13.7827
255.047,14.1352
255.194,13.6234
255.654,10.4422
255.799,9.79607
255.847,9.72361
255.944,10.0271
256.022,10.9248
256.089,12.2749
256.197,15.493
256.362,20.9368
256.45,22.599
256.508,22.9218
256.578,22.5063
256.732,19.6425
256.882,16.6113
256.991,15.0834
257.136,13.8737
257.442,12.7222
258.094,11.639
259.093,10.7267
259.424,10.8175
260.66,10.225
262.313,9.91892
262.468,9.82358
262.612,9.9567
262.757,10.6658
263.079,13.6593
263.221,14.0481
263.738,12.313
264.358,11.8187
264.39,11.8181
