4*pi*AP**2: 11.2934 barns
          eV          J         GN         GG        GFA        GFB
  5.840123+3 5.000000-1 1.649625-1 2.300000-2 0.000000+0 0.000000+0
  5.862547+3 5.000000-1 2.019437-1 2.300000-2 0.000000+0 0.000000+0
  5.874137+3 5.000000-1 4.431240-2 2.300000-2 0.000000+0 0.000000+0
  5.919689+3 5.000000-1 4.140437-1 2.300000-2 0.000000+0 0.000000+0
  5.945190+3 5.000000-1 7.113852-3 2.300000-2 0.000000+0 0.000000+0
  5.970108+3 5.000000-1 1.662402-2 2.300000-2 0.000000+0 0.000000+0
  5.975826+3 5.000000-1 2.935149-2 2.300000-2 0.000000+0 0.000000+0
  5.997919+3 5.000000-1 8.601646-2 2.300000-2 0.000000+0 0.000000+0
  6.038169+3 5.000000-1 5.426922-1 2.300000-2 0.000000+0 0.000000+0
  6.051128+3 5.000000-1 1.800781-1 2.300000-2 0.000000+0 0.000000+0
  6.061568+3 5.000000-1 1.783431-1 2.300000-2 0.000000+0 0.000000+0
  6.061761+3 5.000000-1 1.794597-1 2.300000-2 0.000000+0 0.000000+0
  6.093555+3 5.000000-1 4.630441-2 2.300000-2 0.000000+0 0.000000+0
  6.131562+3 5.000000-1 9.054149-4 2.300000-2 0.000000+0 0.000000+0
  6.170771+3 5.000000-1 1.118375+0 2.300000-2 0.000000+0 0.000000+0
  6.172936+3 5.000000-1 3.166967-1 2.300000-2 0.000000+0 0.000000+0
  6.196120+3 5.000000-1 1.344356-1 2.300000-2 0.000000+0 0.000000+0
  6.201684+3 5.000000-1 2.168161-1 2.300000-2 0.000000+0 0.000000+0
  6.233764+3 5.000000-1 1.835685-1 2.300000-2 0.000000+0 0.000000+0
  6.248882+3 5.000000-1 2.780393-1 2.300000-2 0.000000+0 0.000000+0
  6.299467+3 5.000000-1 1.653188-2 2.300000-2 0.000000+0 0.000000+0
  6.322599+3 5.000000-1 6.460971-2 2.300000-2 0.000000+0 0.000000+0
  6.343896+3 5.000000-1 2.136671-1 2.300000-2 0.000000+0 0.000000+0
  6.345121+3 5.000000-1 4.035594-2 2.300000-2 0.000000+0 0.000000+0
  6.381633+3 5.000000-1 2.515572-2 2.300000-2 0.000000+0 0.000000+0
