40-Zr-90(n,elastic) ENDF/B-VII.1
40624.7,7.44349
40635.3,7.43255
40708.9,7.64119
40793.0,8.37427
40866.7,9.55187
40929.8,11.1901
40982.4,13.2803
41029.7,16.083
41071.8,19.7579
41108.6,24.4288
41140.1,30.1052
41166.4,36.5761
41192.7,45.2837
41219.0,57.0131
41249.0,74.9315
41310.5,120.159
41329.7,128.123
41339.8,129.273
41354.7,126.718
41375.8,115.832
41436.8,70.4375
41461.8,55.8948
41487.3,44.4423
41513.6,35.5707
41539.9,28.9124
41571.4,22.9914
41603.0,18.6313
41639.8,14.8704
41681.9,11.7312
41729.2,9.16008
41774.4,7.33569
41821.3,5.90188
41868.3,4.8482
41905.8,4.27356
41940.2,3.99494
41955.9,3.96432
41977.8,4.05981
42004.4,4.44071
42027.8,5.10986
42046.6,5.95252
42065.4,7.15928
42084.2,8.84061
42102.9,11.1394
42122.5,14.3652
42140.8,18.3334
42162.4,24.4566
42186.8,33.3015
42240.5,55.5845
42262.5,61.9803
42287.5,64.9975
42292.6,65.0564
42323.8,62.2824
42425.2,43.0069
42481.5,35.1265
42547.3,28.8396
42613.0,24.5814
42706.8,20.5505
42819.5,17.4794
42950.9,15.1815
43113.6,13.3442
43351.4,11.6633
43701.9,10.2239
44098.9,9.35687
44205.5,9.28564
44333.4,9.47
44410.1,9.96284
44471.9,10.9624
44510.3,12.2364
44539.1,13.9023
44563.1,16.1751
44582.2,19.0255
44599.0,22.8062
44613.7,27.7174
44626.7,34.0991
44638.7,42.4936
44649.4,52.86
44659.5,65.9561
44674.4,91.1964
44688.9,116.254
44696.3,124.112
44701.7,126.091
44710.2,122.208
44722.2,106.292
44742.5,74.0584
44755.4,58.4136
44768.5,46.9731
44781.5,38.8068
44797.2,31.9176
44814.0,26.8569
44833.2,22.8774
44857.2,19.5354
44881.2,17.2775
44919.5,14.9336
44970.7,13.0782
45024.0,11.9146
45126.3,10.6535
45279.8,9.72138
45573.9,8.91524
46192.1,8.21845
47684.1,7.5533
52360.5,6.5854
52870.3,6.17159
53055.6,5.74008
53148.3,5.28829
53215.5,4.67603
53257.2,4.00776
53282.1,3.38806
53302.4,2.66927
53317.1,1.96854
53330.1,1.20073
53339.1,0.648987
53342.5,0.475537
53344.7,0.392853
53346.4,0.351683
53347.9,0.340894
53348.9,0.350899
53350.2,0.385646
53351.3,0.446176
53352.4,0.532852
53353.5,0.654485
53354.6,0.818099
53355.7,1.0319
53356.8,1.30558
53358.1,1.72874
53359.4,2.31106
53360.9,3.10727
53362.3,4.1302
53363.9,5.56756
53365.7,7.57081
53367.5,10.3199
53369.9,14.5776
53372.8,21.2653
53379.1,36.7063
53382.3,42.1963
53384.6,44.275
53386.9,44.6984
53390.4,42.8172
53403.2,28.9457
53409.0,24.4711
53416.2,20.6677
53423.4,18.1152
53434.2,15.6458
53440.8,14.9002
53441.8,14.8811
53448.3,15.0628
53453.6,14.4708
53460.2,12.9889
53466.6,12.2034
53489.7,10.9473
53494.8,10.7626
53500.0,10.6343
53500.0,8.98772
54000.0,8.98894
59000.0,9.00166
64000.0,9.01505
69000.0,9.02865
74000.0,9.04214
79000.0,9.05531
84000.0,9.068
89000.0,9.08013
94000.0,9.09163
99000.0,9.10245
100000.0,9.10453
100000.0,9.39278
127500.0,8.86486
130000.0,8.86255
140000.0,9.05125
155000.0,9.68064
170000.0,9.91805
200000.0,8.142
215000.0,8.65535
230000.0,9.4635
245000.0,9.12088
250000.0,8.92429
260000.0,8.14015
270000.0,8.09147
285000.0,8.48413
290000.0,8.53263
310000.0,7.35645
320000.0,7.4549
350000.0,8.63449
360000.0,8.68404
380000.0,8.24532
395000.0,8.81015
405000.0,9.17913
415000.0,9.27794
425000.0,9.13061
440000.0,8.93403
465000.0,8.73718
475000.0,8.39311
490000.0,7.70513
500000.0,7.55758
530000.0,8.53791
540000.0,8.53723
555000.0,8.06851
580000.0,7.64793
600000.0,7.56769
680000.0,7.87349
720000.0,7.73857
800000.0,6.43754
830000.0,6.90333
840000.0,7.12299
880000.0,6.94515
980000.0,6.33004
1200000.0,5.9293
1400000.0,5.33411
1800000.0,4.77633
2000000.0,4.33143
2210800.0,4.10046
2300120.0,3.71519
2450000.0,3.37657
2600000.0,3.18033
2778710.0,3.10416
2901330.0,2.85745
3055720.0,2.68916
3155720.0,2.49088
3200000.0,2.37923
3372960.0,2.32855
3700000.0,2.17414
4400000.0,2.09285
5200000.0,2.15949
5800000.0,2.26874
7635000.0,2.48936
9000000.0,2.56001
1.1E7,2.48793
1.2E7,2.40393
1.21043E7,2.40647
1.8E7,1.73323
2.0E7,1.60844
