E(MeV)  pendfb7/U238:2
1.02566107e-05  9.43837405
1.13229402e-05  9.07472683
1.37691432e-05  8.32377368
1.47625156e-05  7.97145137
1.53902328e-05  7.71276554
1.60477472e-05  7.39628664
1.64948165e-05  7.1440713
1.69352835e-05  6.85544913
1.7272929e-05  6.59904791
1.76359047e-05  6.2787734
1.78667985e-05  6.04403278
1.80976923e-05  5.77961311
1.83277e-05  5.479845
1.85002058e-05  5.22604256
1.86382104e-05  5.00155716
1.87992158e-05  4.71162483
1.89372205e-05  4.43488745
1.90522243e-05  4.18120602
1.91787285e-05  3.8743793
1.92764818e-05  3.6146837
1.93627346e-05  3.36725002
1.94599129e-05  3.06590067
1.95455907e-05  2.77862544
1.96191932e-05  2.51458974
1.96847454e-05  2.26559483
1.97566228e-05  1.97762375
1.98169998e-05  1.72427011
1.98946274e-05  1.3856328
2.00182566e-05  0.834372198
2.00549792e-05  0.67544619
2.00802015e-05  0.570326473
2.00970163e-05  0.502880578
2.01124652e-05  0.44328334
2.01279141e-05  0.386436361
2.01382133e-05  0.350329774
2.01505724e-05  0.309184019
2.01588118e-05  0.283235315
2.01670512e-05  0.258602282
2.01742607e-05  0.238223095
2.01804403e-05  0.221697405
2.01866198e-05  0.206103829
2.01927994e-05  0.191504437
2.0198464e-05  0.179051999
2.02036136e-05  0.168550752
2.02087632e-05  0.1588739
2.02139128e-05  0.150066634
2.02195774e-05  0.1414398
2.02242121e-05  0.135253507
2.02288467e-05  0.129893477
2.0232709e-05  0.126086811
2.02365712e-05  0.122906375
2.02412059e-05  0.119952121
2.02453256e-05  0.118150801
2.02491878e-05  0.117198126
2.0252342e-05  0.11696907
2.02561398e-05  0.11737298
2.02592296e-05  0.118268691
2.02633492e-05  0.120284907
2.02672115e-05  0.123061568
2.02710737e-05  0.126731653
2.02741635e-05  0.130335525
2.02775108e-05  0.134933833
2.02811155e-05  0.140721562
2.02849777e-05  0.147921354
2.02884537e-05  0.155318691
2.02921871e-05  0.164269967
2.02963068e-05  0.175405636
2.02993966e-05  0.184657542
2.03027439e-05  0.195583923
2.03063487e-05  0.208439382
2.03104684e-05  0.224568355
2.03139444e-05  0.239417819
2.03174203e-05  0.255447736
2.03212825e-05  0.274698517
2.03251447e-05  0.295526249
2.03292644e-05  0.319556138
2.03338991e-05  0.348931682
2.03385338e-05  0.380909695
2.03436834e-05  0.419656835
2.03472881e-05  0.448895054
2.03544976e-05  0.512915099
2.03591323e-05  0.558203462
2.03637669e-05  0.606929065
2.03684016e-05  0.65927817
2.03730362e-05  0.715443889
2.03781859e-05  0.78258243
2.03833355e-05  0.854992635
2.03884851e-05  0.933000335
2.03936347e-05  1.01695321
2.03987844e-05  1.10722585
2.0403934e-05  1.20421478
2.04090836e-05  1.30835141
2.04142332e-05  1.42009781
2.04188679e-05  1.52758767
2.04235026e-05  1.64203322
2.04296821e-05  1.80616901
2.04358617e-05  1.98448893
2.04407538e-05  2.13648695
2.04461609e-05  2.31645057
2.04515681e-05  2.50988559
2.04569752e-05  2.7178029
2.04623823e-05  2.94131925
2.04677893e-05  3.18165005
2.04731965e-05  3.44014906
2.04786036e-05  3.71827773
2.04840107e-05  4.01766923
2.04894178e-05  4.34012661
2.0494825e-05  4.68765898
2.0500747e-05  5.09969069
2.05069266e-05  5.56813847
2.05131061e-05  6.0801076
2.05192857e-05  6.64052167
2.05254652e-05  7.25503439
2.05316448e-05  7.9302637
2.05378243e-05  8.67391388
2.0541944e-05  9.21213428
2.05460637e-05  9.78788551
2.05501834e-05  10.4046556
2.05543031e-05  11.066376
2.05584228e-05  11.7774895
2.05625425e-05  12.5430292
2.05666622e-05  13.3687092
2.05707819e-05  14.2610301
2.05749016e-05  15.2273993
2.05790213e-05  16.2762698
2.0583141e-05  17.4172983
2.05872607e-05  18.6615251
2.05913804e-05  20.0215777
2.05955001e-05  21.511901
2.05996198e-05  23.1490147
2.06037395e-05  24.9518009
2.06078592e-05  26.941823
2.0610949e-05  28.5718979
2.06140388e-05  30.3326787
2.06171286e-05  32.2369623
2.06202183e-05  34.298758
2.06233081e-05  36.5336684
2.06284577e-05  40.6898543
2.06320625e-05  43.9607552
2.06356672e-05  47.5683104
2.0639272e-05  51.5509193
2.06419756e-05  54.8091413
2.06446791e-05  58.3210944
2.06473827e-05  62.1077705
2.06500862e-05  66.1910876
2.06527898e-05  70.5950745
2.06554933e-05  75.3447171
2.06582226e-05  80.5178924
2.06610034e-05  86.2099281
2.06637842e-05  92.3600426
2.0666565e-05  99.0033011
2.06693458e-05  106.176771
2.06721265e-05  113.919248
2.06749074e-05  122.272706
2.06776882e-05  131.279387
2.0680469e-05  140.984666
2.06832497e-05  151.435162
2.06860305e-05  162.680486
2.06886053e-05  173.84512
2.06919011e-05  189.259545
2.06951969e-05  206.018527
2.06984927e-05  224.214133
2.07017884e-05  243.939877
2.07050842e-05  265.292589
2.07083799e-05  288.367439
2.07116757e-05  313.262386
2.07147654e-05  338.338086
2.07176492e-05  363.329918
2.0720533e-05  389.917275
2.07234168e-05  418.159605
2.07263006e-05  448.113666
2.07306263e-05  496.370097
2.0734952e-05  548.760151
2.07392777e-05  605.421421
2.07436034e-05  666.460793
2.0747929e-05  731.94739
2.07522547e-05  801.913265
2.07565804e-05  876.339006
2.076173e-05  970.654602
2.07662617e-05  1058.62301
2.07730592e-05  1198.75793
2.07796507e-05  1343.06888
2.07878901e-05  1532.97287
2.08146682e-05  2177.12903
2.08229076e-05  2365.05528
2.0830323e-05  2521.79617
2.08371206e-05  2651.48939
2.08430941e-05  2751.95003
2.08500976e-05  2851.04733
2.08568539e-05  2925.27705
2.08626215e-05  2970.65847
2.08682242e-05  2998.07543
2.08751453e-05  3008.64954
2.08809129e-05  2997.68642
2.08869277e-05  2967.41382
2.08925306e-05  2922.51959
2.08987101e-05  2855.38666
2.09048897e-05  2771.23412
2.09123051e-05  2650.36333
2.09209564e-05  2486.51635
2.09308437e-05  2276.86793
2.09588577e-05  1634.00776
2.09675091e-05  1442.33134
2.09741006e-05  1303.41502
2.09796622e-05  1192.09732
2.09852238e-05  1086.81339
2.09907855e-05  987.988578
2.0996347e-05  895.89796
2.10000547e-05  838.310713
2.10041744e-05  777.90727
2.10082941e-05  721.249328
2.10124138e-05  668.279758
2.10165335e-05  618.914359
2.10206532e-05  573.045873
2.10247729e-05  530.547892
2.10288926e-05  491.278617
2.10330123e-05  455.084404
2.1037647e-05  417.839111
2.10422817e-05  384.041294
2.10469163e-05  353.448536
2.1051551e-05  325.816695
2.10561857e-05  300.907452
2.10608203e-05  278.489043
2.1065455e-05  258.33745
2.10700896e-05  240.24149
2.10747243e-05  224.00064
2.1079359e-05  209.428756
