94-Pu-239(n,total fission) ENDF/B-VII.1
41.266,14.4589
41.284,19.4677
41.3045,26.7534
41.3276,36.9866
41.3602,54.6
41.4265,93.1902
41.4649,109.68
41.5068,119.219
41.6015,127.191
41.6812,138.441
41.6961,138.915
41.7362,133.51
41.7759,117.477
41.8313,83.176
41.8793,53.156
41.9082,38.4393
41.9335,28.3586
41.9537,22.0578
41.9743,17.0997
41.9948,13.3559
42.0163,10.4726
42.0387,8.31285
42.0612,6.78011
42.0836,5.68685
42.1097,4.78717
42.1446,3.98544
42.1845,3.39466
42.2343,2.92249
42.2972,2.55081
42.3689,2.28902
42.4835,2.04935
42.6704,1.8693
42.8572,1.80204
42.9818,1.78986
43.2862,1.83552
43.5145,1.94687
43.6678,2.08405
43.8221,2.32663
43.9309,2.62894
44.0099,2.99308
44.073,3.46595
44.1204,4.04312
44.152,4.6433
44.1785,5.39359
44.2017,6.35572
44.2249,7.76589
44.2448,9.50145
44.2647,11.9215
44.2846,15.2555
44.3045,19.7595
44.3244,25.6862
44.3459,33.9132
44.3715,46.3267
44.4097,69.4019
44.4685,106.521
44.5007,120.237
44.5305,124.678
44.5588,120.542
44.5916,106.738
44.6498,70.0227
44.6877,46.9343
44.7148,33.6369
44.7376,24.9687
44.7584,18.8876
44.7765,14.8673
44.7941,11.8896
44.8117,9.6488
44.8322,7.74983
44.8527,6.41525
44.8746,5.42163
44.8965,4.73185
44.9256,4.10678
44.9547,3.68655
44.9984,3.26996
45.0712,2.86269
45.1457,2.62765
45.2816,2.41749
45.4628,2.34271
45.7152,2.42379
45.9677,2.66389
46.2136,3.09157
46.4078,3.65291
46.5437,4.24994
46.6732,5.08255
46.7783,6.06862
46.8657,7.2283
46.9482,8.77412
47.0162,10.5607
47.0842,13.0799
47.1424,16.1535
47.191,19.7149
47.235,24.1204
47.2757,29.6424
47.3165,37.1007
47.3579,47.3367
47.3994,60.9356
47.4447,80.1083
47.578,149.448
47.6168,163.64
47.6609,170.384
47.701,166.676
47.7508,150.643
47.8867,84.9615
47.9353,66.3343
47.9806,53.0788
48.0243,43.5516
48.0728,35.8383
48.1295,29.5311
48.1885,24.9996
48.2624,21.187
48.3362,18.6708
48.4414,16.4712
48.5548,15.2722
48.6683,14.922
48.8189,15.5332
48.9695,17.4083
49.0974,20.2727
49.2074,24.0511
49.3174,29.5095
49.4275,37.1058
49.5966,52.5875
49.7245,63.6069
49.8676,71.787
49.9088,76.7084
49.9501,85.9844
49.9913,100.995
50.0766,141.332
50.1151,152.529
50.1335,153.966
