92-U-238(n,total fission) ENDF/B-VII.1
236.629,9.26888E-6
236.663,1.12985E-5
236.697,1.4063E-5
236.731,1.78225E-5
236.765,2.30438E-5
236.798,2.95155E-5
236.83,3.79475E-5
236.866,5.03184E-5
236.905,6.75769E-5
236.947,9.18319E-5
236.993,1.26201E-4
237.048,1.77032E-4
237.122,2.61767E-4
237.25,4.18236E-4
237.32,4.79519E-4
237.388,5.05004E-4
237.398,5.05354E-4
237.463,4.86426E-4
237.528,4.35271E-4
237.633,3.10441E-4
237.728,1.96369E-4
237.786,1.38218E-4
237.831,1.01785E-4
237.873,7.48951E-5
237.909,5.65914E-5
237.945,4.2317E-5
237.978,3.2499E-5
238.01,2.4914E-5
238.042,1.91389E-5
238.071,1.5175E-5
238.1,1.21318E-5
238.134,9.47859E-6
238.168,7.54777E-6
238.205,6.02751E-6
238.244,4.90228E-6
238.289,3.98442E-6
238.341,3.2637E-6
238.405,2.65138E-6
238.483,2.15119E-6
238.573,1.74427E-6
238.683,1.3954E-6
238.796,1.13762E-6
238.921,9.2758E-7
239.076,7.41471E-7
239.231,6.07499E-7
239.412,4.94018E-7
239.602,4.07471E-7
239.815,3.37299E-7
240.064,2.78977E-7
240.354,2.31569E-7
240.683,1.95045E-7
241.097,1.65004E-7
241.522,1.45551E-7
242.062,1.30635E-7
242.874,1.19576E-7
243.964,1.1506E-7
244.196,1.14917E-7
246.457,1.19852E-7
259.721,1.70587E-7
272.99,2.10339E-7
273.375,2.02898E-7
273.67,1.94256E-7
273.955,2.03304E-7
274.345,2.14057E-7
290.345,2.62227E-7
291.005,2.48917E-7
291.736,2.67006E-7
305.839,3.24589E-7
313.166,3.68023E-7
319.982,4.27556E-7
325.106,4.97046E-7
328.464,5.64694E-7
331.891,6.67972E-7
334.1,7.691E-7
336.273,9.15566E-7
337.956,1.08763E-6
339.264,1.2853E-6
340.347,1.51866E-6
341.387,1.84623E-6
342.183,2.21201E-6
342.866,2.65942E-6
343.434,3.1869E-6
343.965,3.88693E-6
344.42,4.74533E-6
344.818,5.82086E-6
345.141,7.05363E-6
345.444,8.69411E-6
345.709,1.07505E-5
345.931,1.31874E-5
346.12,1.61262E-5
346.281,1.96202E-5
346.414,2.3605E-5
346.525,2.81655E-5
346.632,3.44356E-5
346.72,4.20341E-5
346.783,4.97171E-5
346.847,6.10135E-5
346.904,7.53557E-5
346.951,9.2029E-5
346.998,1.14816E-4
347.042,1.43843E-4
347.088,1.84571E-4
347.134,2.38999E-4
347.184,3.16087E-4
347.233,4.17101E-4
347.282,5.46059E-4
347.339,7.31014E-4
347.408,0.00101646
347.517,0.00156399
347.648,0.00224638
347.737,0.00257864
347.821,0.0027097
347.832,0.00271126
347.909,0.00261972
348.0,0.00230741
348.149,0.00153896
348.256,9.97471E-4
348.326,7.12558E-4
348.384,5.22894E-4
348.437,3.87332E-4
348.482,2.96767E-4
348.528,2.26458E-4
348.573,1.72932E-4
348.619,1.32838E-4
348.661,1.05306E-4
348.705,8.34738E-5
348.749,6.73324E-5
348.8,5.39227E-5
348.852,4.4028E-5
348.915,3.55761E-5
348.986,2.8989E-5
349.065,2.38477E-5
349.153,1.97074E-5
349.267,1.58769E-5
349.4,1.26909E-5
349.555,1.00432E-5
349.71,8.12604E-6
349.88,6.56414E-6
350.082,5.20811E-6
350.285,4.21119E-6
350.506,3.39753E-6
350.759,2.70815E-6
351.043,2.13939E-6
351.326,1.72115E-6
351.655,1.35976E-6
352.018,1.06864E-6
352.389,8.49724E-7
352.781,6.77752E-7
353.199,5.41098E-7
353.686,4.24336E-7
354.189,3.36833E-7
354.736,2.67922E-7
355.34,2.13762E-7
355.993,1.73146E-7
356.645,1.4518E-7
357.356,1.23977E-7
358.143,1.08903E-7
358.93,9.99237E-8
359.979,9.47259E-8
361.029,9.36538E-8
362.427,9.7064E-8
364.524,1.08219E-7
367.841,1.34386E-7
370.027,1.58513E-7
371.702,1.85106E-7
372.965,2.16903E-7
373.775,2.50281E-7
374.402,2.92537E-7
374.845,3.41073E-7
375.144,3.9196E-7
375.42,4.64859E-7
375.615,5.47655E-7
375.742,6.34868E-7
375.809,7.0772E-7
375.87,8.06581E-7
375.929,9.55983E-7
375.979,1.15245E-6
376.022,1.40053E-6
376.065,1.74965E-6
376.105,2.21596E-6
376.14,2.76872E-6
376.176,3.49633E-6
376.214,4.55084E-6
376.25,5.80575E-6
376.291,7.69948E-6
376.332,1.01477E-5
376.38,1.37459E-5
376.43,1.86637E-5
376.49,2.60283E-5
376.561,3.69729E-5
376.793,7.94148E-5
376.883,9.05965E-5
376.963,9.40282E-5
377.047,9.02268E-5
377.123,8.09825E-5
377.248,5.85834E-5
377.369,3.59376E-5
377.437,2.54014E-5
377.492,1.84748E-5
377.541,1.35426E-5
377.584,1.01104E-5
377.625,7.49637E-6
377.663,5.60243E-6
377.698,4.26466E-6
377.73,3.2791E-6
