28-Ni-58(n,&gamma;) ENDF/B-VII.1
26628.3,0.293644
26629.1,0.36591
26629.9,0.464552
26630.8,0.598551
26631.7,0.780222
26632.5,1.009
26633.4,1.33667
26634.3,1.78735
26635.3,2.38892
26636.6,3.34961
26638.5,5.12981
26641.1,7.50588
26642.5,8.46049
26644.0,8.85369
26644.1,8.85554
26645.5,8.55065
26647.0,7.66303
26649.3,5.54914
26651.5,3.49661
26652.8,2.49042
26653.8,1.8689
26654.8,1.38968
26655.7,1.04784
26656.4,0.826395
26657.3,0.638135
26658.0,0.502212
26658.8,0.399851
26659.6,0.323201
26660.6,0.256709
26661.6,0.206689
26662.7,0.167537
26664.0,0.13748
26665.5,0.112591
26667.0,0.0942834
26669.2,0.0761484
26671.9,0.0610839
26674.9,0.049105
26678.1,0.0400952
26682.0,0.0322165
26686.5,0.0259315
26691.8,0.0208401
26697.3,0.0171052
26703.4,0.0141978
26710.4,0.0117824
26718.4,0.0098336
26729.0,0.0080725
26741.5,0.00668272
26756.6,0.00559472
26771.6,0.00486983
26793.0,0.00419319
26820.2,0.00366569
26859.2,0.00322142
26917.7,0.00287551
26995.7,0.0026475
27112.6,0.00248802
27346.5,0.00236369
27476.2,0.0023328
27567.4,0.00239432
27591.1,0.00254077
27601.1,0.00274366
27606.1,0.00296884
27609.5,0.00326713
27611.2,0.00354939
27612.6,0.00396901
27613.7,0.00455903
27614.6,0.00526904
27615.3,0.00617241
27616.0,0.00732959
27616.7,0.00916346
27617.4,0.0114317
27618.1,0.014493
27618.7,0.0185667
27619.4,0.0239054
27620.2,0.0317682
27620.9,0.0417374
27621.7,0.0556187
27622.6,0.0754618
27623.6,0.103112
27624.8,0.146269
27628.7,0.298223
27630.2,0.339831
27631.7,0.353557
27633.0,0.341727
27634.3,0.308632
27636.4,0.229411
27638.7,0.140086
27640.0,0.0970862
27641.0,0.0706356
27641.9,0.051676
27642.7,0.0382988
27643.5,0.0289079
27644.1,0.0223692
27644.8,0.0173346
27645.5,0.0135216
27646.2,0.0106784
27646.8,0.00856543
27647.5,0.00700338
27648.4,0.00573981
27649.2,0.00489464
27650.1,0.00426409
27651.3,0.00378085
27652.2,0.00353587
27654.1,0.00323529
27657.8,0.00292791
27661.5,0.00275803
27669.0,0.00257409
27682.4,0.00243526
27709.3,0.00233991
27772.2,0.00228137
28590.5,0.00217859
30014.9,0.00210449
30764.0,0.00214076
31201.3,0.00225461
31451.5,0.0024215
31628.3,0.00265225
31758.5,0.00296587
31854.3,0.00336623
31934.2,0.0039099
31998.8,0.00462138
32042.6,0.00535414
32080.5,0.00627766
32112.1,0.00735309
32142.1,0.00884849
32167.1,0.0106997
32187.1,0.0128996
32202.1,0.0153702
32213.4,0.0181464
32220.9,0.0208612
32227.5,0.0243436
32232.9,0.0287148
32237.1,0.0340597
32239.9,0.0395628
32242.0,0.0458952
32243.8,0.0543041
32245.0,0.0635382
32246.1,0.0753117
32246.9,0.0893565
32247.8,0.109037
32248.7,0.136633
32249.5,0.172147
32250.3,0.220124
32251.2,0.284063
32252.0,0.367901
32252.9,0.490376
32253.9,0.659859
32254.9,0.899048
32256.2,1.24325
32257.9,1.85167
32261.2,3.09648
32262.9,3.5544
32264.5,3.73398
32264.7,3.73533
32266.2,3.60679
32267.7,3.23804
32270.2,2.34135
32272.5,1.46005
32274.0,1.02503
32275.0,0.762809
32276.0,0.575376
32277.0,0.429887
32277.8,0.33101
32278.7,0.255933
32279.5,0.200073
32280.4,0.159227
32281.2,0.129774
32282.1,0.108748
32283.2,0.0908162
32284.2,0.0791061
32285.6,0.0696905
32287.7,0.0618942
32289.7,0.0577782
32293.8,0.0542032
32297.0,0.0535865
32302.5,0.0550117
32309.8,0.0602555
32319.0,0.0714592
32326.3,0.0847779
32333.6,0.103477
32339.9,0.125858
32345.5,0.153212
32351.1,0.191171
32355.9,0.236665
32360.5,0.297387
32364.2,0.367209
32367.9,0.461259
32371.2,0.578363
32374.0,0.716645
32376.8,0.90997
32379.6,1.16475
32382.2,1.49985
32385.3,2.00239
32392.5,3.42566
32395.4,3.81439
32397.6,3.91002
32400.2,3.77924
32402.9,3.39955
32410.5,1.88938
32413.4,1.44236
32416.0,1.13323
32418.5,0.900058
32421.3,0.715905
32424.3,0.568157
32427.5,0.455469
32430.8,0.371569
32434.4,0.303097
32438.8,0.24169
32443.9,0.192506
32449.4,0.153975
32455.0,0.125806
32462.1,0.100151
32470.1,0.0797113
32478.1,0.0650316
32487.7,0.0523145
32498.7,0.0419849
32511.2,0.0336302
32522.4,0.0282253
32537.1,0.0230354
32553.1,0.0189206
32570.8,0.015628
32593.6,0.0126257
32619.3,0.0102937
32647.9,0.0084968
32681.1,0.00705336
32722.2,0.00584264
32763.4,0.00501052
32818.2,0.00425778
32886.8,0.00364864
32955.4,0.00324952
33055.9,0.00287443
33202.2,0.00255975
33421.7,0.00232339
33714.3,0.00221134
33750.8,0.00220904
33892.8,0.002254
33996.1,0.00240642
34043.4,0.00259279
34082.1,0.00287499
34106.8,0.00321142
34126.7,0.00366761
34142.3,0.00424556
34155.2,0.00500497
34165.5,0.00594036
34174.6,0.00718464
34181.1,0.00848415
34187.3,0.0102898
34192.5,0.0124305
34197.1,0.0151594
34201.0,0.0184133
34204.3,0.0223247
34207.1,0.0268445
34209.4,0.032011
34211.7,0.0393351
34213.3,0.0467297
34214.6,0.05503
34215.9,0.0669319
34217.0,0.0818179
34218.0,0.100406
34218.8,0.122388
34219.7,0.152157
34220.5,0.19245
34221.3,0.246702
34222.2,0.319077
34223.0,0.41438
34223.8,0.537941
34224.8,0.717108
34225.7,0.94868
34226.8,1.29102
34228.1,1.79798
34229.8,2.59823
34233.3,4.44441
34235.1,5.11726
34236.7,5.35566
34236.9,5.35736
34238.5,5.15452
34240.2,4.56051
34243.1,3.03117
34245.2,1.9625
34246.5,1.43129
34247.7,1.04109
34248.7,0.777586
34249.6,0.586505
34250.5,0.439355
34251.4,0.338246
34252.2,0.259365
34253.0,0.203301
34253.8,0.16124
34254.6,0.129872
34255.5,0.105949
34256.4,0.0857562
34257.6,0.0696549
34258.7,0.0584138
34260.0,0.0490018
34261.4,0.0416206
34263.5,0.0342165
34266.0,0.0280567
34268.6,0.0234093
34272.0,0.0191872
34276.0,0.0155702
34280.5,0.0128132
34285.6,0.0105581
34291.6,0.00876048
34298.2,0.00734702
34306.7,0.00611024
34315.9,0.00520259
34327.0,0.004465
34340.5,0.00387177
34358.7,0.00337043
34382.9,0.00296233
34413.7,0.00266981
34444.5,0.00249878
34506.0,0.00231604
34622.7,0.00219342
34782.9,0.00215234
34976.2,0.00222074
35009.2,0.00229793
35024.4,0.00241165
35032.8,0.00258144
35037.0,0.00278479
35039.1,0.00301329
35040.7,0.00335704
35041.8,0.00375802
35042.8,0.00440071
35043.8,0.00527207
35044.5,0.00635379
35045.3,0.00786099
35046.1,0.00993164
35047.0,0.0128646
35047.8,0.0168006
35048.6,0.0219709
35049.5,0.0293671
35050.5,0.0398057
35051.5,0.0537162
35052.8,0.0752591
35054.6,0.11186
35057.8,0.181706
35059.5,0.208374
35061.1,0.218655
35061.3,0.218737
35062.9,0.210608
35064.5,0.188041
35067.1,0.132682
35069.3,0.0847215
35070.7,0.0598386
35071.8,0.0441007
35072.8,0.0325657
35073.7,0.0244523
35074.5,0.0187238
35075.3,0.0143239
35076.1,0.0110178
35077.0,0.00858285
35077.8,0.00682281
35078.6,0.00561313
35079.5,0.00463539
35080.3,0.00406285
35081.4,0.00355612
35082.9,0.00312716
35084.5,0.0029035
35088.0,0.00267797
35095.2,0.00249474
35104.8,0.00239394
35124.0,0.00232822
35162.4,0.0023097
35327.7,0.00246108
35474.6,0.00275339
35584.8,0.0031526
35667.5,0.00366086
35722.6,0.00418451
35777.7,0.0049709
35822.4,0.00593984
35856.9,0.00701967
35885.6,0.00828799
35914.3,0.0100837
35940.1,0.0124251
35960.2,0.0150095
35980.3,0.0186676
35996.2,0.0227772
36010.9,0.0280118
36024.7,0.0349549
36035.9,0.0429242
36046.3,0.0530785
36055.4,0.0656343
36064.2,0.0823775
36071.5,0.102136
36077.8,0.125554
36083.5,0.154122
36089.1,0.19387
36093.9,0.241775
36097.9,0.296819
36101.8,0.370504
36105.0,0.453735
36108.0,0.555915
36110.9,0.696437
36113.7,0.878115
36116.5,1.12941
36119.4,1.47705
36122.5,1.98004
36130.2,3.42807
36133.0,3.76116
36135.1,3.83275
36137.6,3.70444
36140.8,3.25842
36148.3,1.83279
36151.2,1.40108
36153.7,1.10728
36156.5,0.86622
36159.0,0.698802
36161.9,0.563425
36165.2,0.447157
36168.9,0.355711
36172.8,0.286087
36177.4,0.227534
36182.3,0.182683
36187.5,0.14836
36193.8,0.118721
36201.0,0.0944528
36208.2,0.0770137
36216.2,0.0629975
36225.3,0.0511458
36235.7,0.0415056
36246.9,0.0339012
36260.7,0.0272448
36275.4,0.0222047
36291.3,0.0182337
36311.4,0.0146868
36334.4,0.0118748
36357.3,0.00988936
36386.0,0.00813298
36420.5,0.00668467
36460.7,0.00554564
36507.7,0.00464511
36562.8,0.00394522
36631.7,0.00337585
36714.3,0.00294171
36833.7,0.00256426
36980.6,0.00229853
37219.4,0.00207144
37568.4,0.00191606
38221.8,0.0018044
38657.4,0.00177307
39093.0,0.0018061
39256.4,0.0019091
39327.9,0.00204541
39379.2,0.00225514
39411.2,0.00251467
39436.0,0.00286678
39455.5,0.00334066
39469.4,0.00388731
39481.1,0.00459283
39490.3,0.00542182
39497.9,0.00642435
39504.8,0.00773531
39511.2,0.00947489
39516.4,0.0115753
39520.8,0.0141212
39524.5,0.0171327
39527.7,0.0208483
39530.4,0.0251964
39532.6,0.0300585
39534.4,0.0357547
39535.8,0.0421935
39537.1,0.0501585
39538.2,0.0597682
39539.3,0.0740346
39540.2,0.0910157
39541.2,0.114587
39542.0,0.141972
39542.9,0.182819
39543.8,0.237989
39544.7,0.311598
39545.6,0.408315
39546.6,0.540216
39547.5,0.717878
39548.6,0.964392
39549.8,1.31312
39551.3,1.84097
39554.3,3.13049
39556.5,4.03171
39558.3,4.53294
39560.0,4.69434
39561.6,4.54615
39563.2,4.10604
39565.7,3.09776
39568.6,1.83373
39570.2,1.29305
39571.3,0.964391
39572.4,0.717975
39573.4,0.540357
39574.3,0.408476
39575.2,0.311765
39576.1,0.238152
39577.1,0.182973
39578.0,0.142112
39578.8,0.114714
39579.7,0.0911281
39580.7,0.0741335
39581.8,0.0598538
39583.0,0.0489142
39584.5,0.0404326
39586.3,0.0332896
39588.3,0.0278826
39591.0,0.0227391
39594.1,0.0185667
39597.7,0.0152108
39602.1,0.0123393
39607.1,0.0101056
39612.8,0.00832646
39619.1,0.00694563
39626.3,0.0058406
39634.9,0.0049243
39643.7,0.00427407
39655.8,0.00365911
39671.0,0.00316092
39689.1,0.00278141
39714.2,0.00245541
39739.2,0.00225815
39789.4,0.00204127
39872.9,0.00187811
40006.6,0.0017865
40340.8,0.00171357
42075.8,0.00165467
43055.1,0.00164836
43796.7,0.00167648
43891.7,0.00173719
43935.3,0.00185009
43956.6,0.00200292
43970.2,0.00221256
43978.7,0.00245674
43985.4,0.00279259
43990.5,0.00321397
43993.9,0.00365759
43996.5,0.00416681
43998.3,0.0047227
44000.0,0.005537
44001.2,0.00644008
44002.4,0.00780431
44003.4,0.0094115
44004.3,0.0116992
44005.2,0.0145958
44006.1,0.0187176
44006.9,0.023294
44007.6,0.0291871
44008.6,0.0384202
44009.5,0.0505553
44010.4,0.0676916
44011.5,0.0916466
44012.7,0.125567
44013.9,0.171154
44015.6,0.247399
44020.7,0.524388
44022.6,0.595748
44024.5,0.620776
44024.5,0.620776
44026.2,0.598794
44027.9,0.539685
44030.7,0.393262
44033.4,0.242792
44035.1,0.168681
44036.3,0.122617
44037.4,0.0912659
44038.4,0.0692113
44039.4,0.051965
44040.2,0.0402399
44041.1,0.0305657
44041.9,0.0239417
44042.8,0.0188932
44043.7,0.0147259
