92-U-238(n,&gamma;) ENDF/B-VII.1
164.663,1.50648
164.687,1.82104
164.712,2.27359
164.735,2.84334
164.758,3.59716
164.782,4.5868
164.805,5.87346
164.83,7.62858
164.857,10.1463
164.884,13.4052
164.914,18.0595
164.943,23.6855
164.979,32.5329
165.021,45.4783
165.076,65.852
165.195,115.275
165.257,133.294
165.313,139.458
165.316,139.485
165.372,134.029
165.427,119.01
165.519,82.1834
165.592,52.3958
165.64,36.6595
165.677,26.7919
165.71,19.689
165.741,14.5603
165.771,10.7653
165.798,8.10762
165.821,6.33807
165.845,4.95389
165.868,3.88341
165.894,2.98537
165.92,2.32397
165.946,1.84002
165.971,1.48686
166.001,1.19289
166.03,0.996823
166.066,0.822342
166.102,0.70162
166.151,0.590077
166.216,0.48822
166.302,0.398178
166.405,0.324323
166.523,0.266118
166.667,0.216394
166.836,0.176912
167.012,0.148584
167.239,0.123539
167.517,0.103549
167.873,0.0873948
168.279,0.0760699
168.684,0.0693155
169.09,0.0649849
169.814,0.0611973
170.537,0.0601939
171.596,0.0623644
172.076,0.0655993
172.33,0.0693278
172.456,0.073577
172.528,0.0791526
172.586,0.088412
172.629,0.101111
172.665,0.118108
172.7,0.142673
172.732,0.175956
172.765,0.222453
172.797,0.285798
172.829,0.36975
172.865,0.490026
172.905,0.66362
172.952,0.920148
173.027,1.42576
173.12,2.07089
173.184,2.37234
173.24,2.46618
173.296,2.37341
173.358,2.08354
173.521,0.966021
173.569,0.698573
173.608,0.520425
173.643,0.398127
173.675,0.309091
173.708,0.24148
173.74,0.191577
173.769,0.159104
173.805,0.130536
173.841,0.111714
173.881,0.0984607
173.937,0.0883432
174.012,0.0823834
174.162,0.0787855
174.347,0.0778652
174.946,0.0800185
176.405,0.0935335
177.861,0.113935
179.023,0.137103
180.186,0.16934
181.155,0.207048
182.027,0.253985
182.802,0.311543
183.48,0.380162
184.158,0.476051
184.752,0.594526
185.26,0.736502
185.745,0.926057
186.132,1.1369
186.5,1.41372
186.841,1.77371
187.113,2.17322
187.373,2.69898
187.607,3.35453
187.806,4.13118
187.985,5.08358
188.155,6.33588
188.3,7.83003
188.427,9.6385
188.547,12.0228
188.649,14.874
188.736,18.3008
188.811,22.4346
188.871,27.0411
188.932,33.4363
188.983,40.9021
189.031,50.6241
189.08,63.9347
189.128,82.1421
189.172,103.975
189.221,136.644
189.276,183.687
189.332,244.695
189.415,357.167
189.54,532.719
189.607,599.023
189.677,626.319
189.68,626.386
189.75,601.378
189.821,532.054
190.019,256.111
190.084,184.559
190.136,138.725
190.183,107.338
190.228,84.182
190.276,65.4268
190.32,52.886
190.368,42.5417
190.414,35.2667
190.475,28.3117
190.535,23.3442
190.601,19.4177
190.688,15.6489
190.79,12.5571
190.907,10.0448
191.031,8.15959
191.182,6.50801
191.352,5.19845
191.521,4.25175
191.733,3.39571
191.975,2.70278
192.224,2.19367
192.514,1.76337
192.829,1.42841
193.168,1.16578
193.54,0.954527
193.956,0.783373
194.194,0.717527
194.253,0.712703
194.338,0.729611
194.415,0.788231
194.492,0.91075
194.561,1.08507
194.739,1.6802
194.818,1.84453
194.856,1.86561
194.918,1.80925
194.996,1.60096
195.169,0.950059
195.235,0.760248
195.3,0.625627
195.358,0.547258
195.415,0.49679
195.502,0.45373
195.617,0.42484
196.048,0.368708
196.68,0.311727
197.478,0.260445
