26-Fe-56(n,elastic) ENDF/B-VII.1
173690.0,26.992
173696.0,26.3742
173703.0,23.565
173719.0,14.9705
173726.0,11.9975
173733.0,9.89288
173741.0,8.16102
173748.0,7.06023
173757.0,6.0365
173770.0,5.23015
173786.0,4.58194
173807.0,4.1075
173833.0,3.76944
173885.0,3.42591
173964.0,3.20332
174159.0,2.97948
174882.0,2.63659
175865.0,2.31426
175891.0,2.32555
178132.0,1.69258
179582.0,1.30053
179652.0,1.33344
179681.0,1.41412
179697.0,1.52928
179709.0,1.71223
179717.0,1.94062
179723.0,2.22581
179728.0,2.60402
179732.0,3.09848
179736.0,3.73318
179740.0,4.60645
179744.0,5.95954
179749.0,7.91426
179762.0,14.5029
179767.0,16.1796
179771.0,16.5348
179775.0,16.0097
179781.0,14.0864
179793.0,8.03176
179798.0,6.09704
179803.0,4.87778
179806.0,4.08668
179811.0,3.43258
179815.0,2.95519
179821.0,2.54133
179827.0,2.27188
179836.0,2.01024
179849.0,1.79136
179866.0,1.62663
179891.0,1.49648
179937.0,1.37828
180001.0,1.29995
180198.0,1.19059
180625.0,1.06221
180788.0,1.0412
180906.0,1.06916
180965.0,1.13273
181007.0,1.24316
181029.0,1.37007
181038.0,1.48246
181044.0,1.63683
181049.0,1.86988
181054.0,2.18019
181059.0,2.71471
181066.0,3.68275
181073.0,4.83799
181079.0,5.30141
181082.0,5.38225
181086.0,5.22449
181095.0,4.41269
181101.0,3.83018
181106.0,3.58477
181109.0,3.53466
181114.0,3.62404
181120.0,3.96153
181125.0,4.54683
181131.0,5.39053
181136.0,6.50299
181141.0,8.04436
181146.0,10.0998
181151.0,12.9682
181158.0,17.6256
181170.0,27.1059
181176.0,29.8377
181180.0,30.4833
181184.0,29.7325
181190.0,26.8887
181207.0,14.0351
181213.0,10.701
181218.0,8.27536
181223.0,6.56964
181228.0,5.41399
181234.0,4.4475
181241.0,3.65587
181248.0,3.05848
181256.0,2.57781
181267.0,2.14483
181280.0,1.80368
181298.0,1.52934
181316.0,1.34091
181339.0,1.1954
181378.0,1.04651
181426.0,0.944624
181502.0,0.853708
181660.0,0.753225
182020.0,0.611491
182904.0,0.327358
183369.0,0.19576
183658.0,0.125612
183877.0,0.081827
184016.0,0.059663
184115.0,0.0472314
184195.0,0.0395469
184255.0,0.0352102
184334.0,0.0315177
184394.0,0.0306405
184453.0,0.0314544
184513.0,0.0340546
184573.0,0.0386255
184642.0,0.0466141
184712.0,0.0578129
184801.0,0.0773416
184891.0,0.103226
184980.0,0.136221
185070.0,0.177101
185179.0,0.238778
185298.0,0.324214
185428.0,0.43945
185567.0,0.596521
185766.0,0.891499
185925.0,1.19616
186097.0,1.61188
186265.0,2.11322
186465.0,2.85145
186700.0,3.94457
186958.0,5.45593
187036.0,6.07516
187050.0,6.37942
187058.0,6.85413
187064.0,7.6417
187071.0,9.00527
187082.0,11.9403
187088.0,12.8075
187090.0,12.8828
187096.0,12.4122
187105.0,10.3855
187113.0,8.45533
187118.0,7.65969
187125.0,7.10781
187136.0,6.81266
187142.0,6.79572
187278.0,7.65642
187829.0,11.5599
188184.0,13.3561
188533.0,14.2084
188715.0,14.3156
189239.0,13.7448
189848.0,12.5064
189896.0,12.6605
189921.0,13.247
189933.0,14.1883
189943.0,15.6243
189964.0,20.8503
189973.0,21.5977
189991.0,20.3735
189996.0,20.6601
190004.0,22.519
190015.0,25.468
190019.0,25.7621
190025.0,24.8893
190033.0,21.9114
190044.0,17.1869
190051.0,15.0411
190058.0,13.8381
190068.0,12.9894
190089.0,12.3578
190165.0,11.783
190835.0,10.2063
191958.0,8.40934
192770.0,7.55579
192808.0,7.54713
192897.0,7.66562
192936.0,8.00766
192958.0,8.66047
192967.0,9.22314
192974.0,10.0021
192980.0,11.2538
192987.0,13.3129
192992.0,15.754
193000.0,20.7803
193010.0,27.3615
193016.0,30.3011
193020.0,30.7668
193025.0,29.7469
193033.0,25.8209
193044.0,17.5982
193051.0,14.0759
193056.0,12.1027
193063.0,10.4891
193071.0,9.36745
193081.0,8.63729
193100.0,7.95294
193130.0,7.54802
193227.0,7.18008
193993.0,6.49135
195289.0,5.78043
195369.0,5.76855
195516.0,5.85663
195580.0,6.06881
195618.0,6.39792
195646.0,6.89038
195669.0,7.69318
195682.0,8.51991
195696.0,9.79595
195710.0,11.7032
195736.0,16.4825
195746.0,17.6005
195751.0,17.7406
195762.0,17.0715
195778.0,14.6181
195798.0,11.2413
195811.0,9.72556
195829.0,8.3723
195847.0,7.53465
195874.0,6.8204
195911.0,6.32721
195999.0,5.84385
196204.0,5.50901
197214.0,5.0266
200033.0,4.28121
201160.0,4.09473
201361.0,4.16496
201439.0,4.36142
201479.0,4.71066
201498.0,5.09389
201513.0,5.66294
201523.0,6.39268
201532.0,7.36037
