26-Fe-56(n,&gamma;) ENDF/B-VII.1
34125.2,0.00358831
34136.7,0.00431023
34147.3,0.00525722
34156.1,0.00636711
34164.4,0.00784571
34172.1,0.00977574
34178.1,0.0118661
34183.4,0.0144226
34188.7,0.0179964
34192.9,0.0219442
34196.8,0.0271125
34200.1,0.0330655
34203.2,0.0407638
34205.9,0.050009
34208.2,0.0614291
34210.1,0.0754566
34211.8,0.0923234
34213.1,0.111476
34214.3,0.134719
34215.4,0.167029
34216.4,0.20505
34217.4,0.256271
34218.4,0.325111
34219.4,0.416851
34220.4,0.537487
34221.4,0.703517
34222.6,0.944194
34224.0,1.29876
34225.5,1.82969
34230.4,3.79021
34232.3,4.3004
34234.0,4.45847
34235.7,4.30011
34237.5,3.81355
34240.7,2.54407
34242.9,1.66009
34244.4,1.19782
34245.6,0.891831
34246.7,0.684865
34247.7,0.52808
34248.7,0.403875
34249.8,0.311039
34250.8,0.24457
34251.8,0.19438
34252.9,0.15763
34254.0,0.127315
34255.3,0.104768
34256.7,0.0866515
34258.4,0.0707597
34260.5,0.0575396
34262.7,0.0477371
34265.3,0.0391866
34268.5,0.0316272
34272.2,0.0255323
34276.6,0.02041
34281.5,0.0163792
34287.0,0.0131336
34293.1,0.0106208
34300.1,0.00858348
34308.3,0.00690185
34316.9,0.00566278
34326.8,0.0046374
34337.8,0.00383337
34350.2,0.00318605
34366.1,0.00260883
34384.9,0.00214732
34405.7,0.00180286
34429.4,0.00153485
34458.7,0.00131468
34494.8,0.00113389
34550.1,9.6425E-4
34599.3,8.69599E-4
34673.0,7.82193E-4
34746.8,7.19559E-4
34894.3,6.48439E-4
35041.9,5.98015E-4
35336.9,5.37627E-4
35632.0,4.91366E-4
36102.3,4.45736E-4
36255.9,4.40374E-4
36371.1,4.49729E-4
36409.5,4.56528E-4
36486.3,4.91126E-4
36529.6,5.34304E-4
36565.6,6.0406E-4
36590.8,6.92642E-4
36606.4,7.75339E-4
36623.2,9.15333E-4
36635.2,0.00106818
36646.0,0.00126883
36655.0,0.00151566
36662.5,0.00181129
36669.7,0.00222303
36675.4,0.00269323
36680.4,0.00327877
36684.7,0.00397793
36688.4,0.00480908
36691.9,0.00590706
36694.8,0.00717958
36697.3,0.00882027
36699.4,0.0107162
36700.7,0.0125265
36702.1,0.0151237
36703.2,0.018148
36704.2,0.0218945
36705.1,0.0271879
36705.9,0.0334953
36706.7,0.0416662
36707.5,0.0534522
36708.4,0.0694504
36709.2,0.0909597
36710.0,0.119497
36710.9,0.157657
36711.8,0.211377
36712.7,0.280502
36713.7,0.370855
36714.8,0.499588
36716.2,0.708338
36718.4,1.09882
36721.3,1.65338
36723.1,1.90033
36724.9,1.99044
36725.0,1.99075
36726.6,1.92664
36728.4,1.70564
36731.1,1.20531
36733.5,0.76258
36734.9,0.536071
36736.1,0.396606
36737.1,0.295195
36738.0,0.221784
36738.9,0.166591
36739.8,0.127794
36740.6,0.0978198
36741.4,0.0750117
36742.2,0.0578816
36743.0,0.0458371
36743.7,0.0367804
36744.5,0.029991
36745.4,0.0240457
36746.3,0.0198103
36747.5,0.0161432
36748.5,0.0138349
36749.9,0.0116425
36751.6,0.00974224
36753.7,0.0080989
36756.5,0.0065506
36759.9,0.0052985
36763.3,0.00438869
36767.4,0.00360171
36771.7,0.00299634
36777.5,0.00243231
36784.1,0.00197911
36790.9,0.00165582
36799.5,0.00137101
36808.3,0.00116933
36821.5,9.64942E-4
36834.7,8.27042E-4
36851.8,7.0862E-4
36871.5,6.23741E-4
36895.2,5.53732E-4
36923.6,5.00491E-4
36961.4,4.56219E-4
37011.9,4.21368E-4
37112.8,3.84334E-4
37213.7,3.64428E-4
37516.4,3.34947E-4
37798.4,3.22447E-4
38002.2,3.30774E-4
38092.7,3.48071E-4
38160.6,3.79381E-4
38205.9,4.21444E-4
38239.9,4.78187E-4
38262.5,5.39613E-4
38279.5,6.04078E-4
38296.4,7.01294E-4
38311.3,8.28587E-4
38324.0,9.89914E-4
38334.7,0.00118438
38343.4,0.00140972
38352.0,0.00173387
38359.3,0.00213222
38365.2,0.00258568
38370.3,0.0031375
38375.2,0.00387594
38379.4,0.00476323
38382.8,0.00577882
38385.7,0.00697251
38388.4,0.00848995
38390.6,0.0101906
38392.5,0.0124202
38393.9,0.0147712
38395.1,0.0178146
38396.1,0.0216955
38397.1,0.026428
38398.0,0.0330847
38398.8,0.0414059
38399.5,0.0513279
38400.3,0.0643726
38401.0,0.081418
38401.7,0.103507
38402.5,0.134532
38403.4,0.176369
38404.3,0.236873
38405.2,0.314981
38406.2,0.424495
38407.3,0.570725
38408.6,0.794717
38410.3,1.15596
38414.3,2.07594
