E(MeV)  pendfb7/B10:102
1.94621574e-06  0.056687472
2.02897083e-06  0.055516594
2.11565421e-06  0.054364001
2.20561399e-06  0.053240523
2.29984408e-06  0.052135698
2.3976358e-06  0.051059152
2.5000696e-06  0.050000339
2.60637512e-06  0.04896801
2.71772686e-06  0.047951444
2.83328738e-06  0.046960427
2.95433346e-06  0.045986371
3.12340751e-06  0.044722062
3.30215753e-06  0.043492792
3.49113727e-06  0.042297004
3.69093216e-06  0.04113219
3.90216115e-06  0.040000989
4.1254786e-06  0.038901191
4.36157631e-06  0.037831201
4.67533642e-06  0.036537559
5.01263774e-06  0.035282578
5.37323346e-06  0.034073827
5.76088444e-06  0.032907987
6.17530702e-06  0.031782517
6.62082346e-06  0.030694609
7.19723551e-06  0.029435037
7.82383027e-06  0.028226394
8.50497668e-06  0.027075244
9.24542401e-06  0.025969582
1.0050335e-05  0.024905117
1.10773148e-05  0.023711261
1.22115986e-05  0.022582257
1.34594242e-05  0.021506129
1.48376288e-05  0.020482983
1.65845151e-05  0.019366865
1.80283709e-05  0.01858418
1.95979295e-05  0.017819745
2.16005172e-05  0.016965449
2.34810686e-05  0.016273644
2.55253416e-05  0.015606502
2.774759e-05  0.014965792
3.01633085e-05  0.014356099
3.32519408e-05  0.013664804
3.87471795e-05  0.012659053
4.33090214e-05  0.011970648
4.70795255e-05  0.011482915
5.11782914e-05  0.011012163
5.56338979e-05  0.010560018
5.96475957e-05  0.01019745
6.66701171e-05  0.009641805
7.76880669e-05  0.008932341
8.56430918e-05  0.008503761
9.30992203e-05  0.008157419
0.000101204483  0.007822827
0.000110015393  0.007501615
0.000119593386  0.007195561
0.000131813873  0.006850403
0.000153627259  0.00634437
0.000171714337  0.006000222
0.000186663869  0.005755947
0.000202914915  0.005519874
0.000220580784  0.005293217
0.000239784653  0.00507735
0.000264286721  0.004833631
0.000308022543  0.004476647
0.000344287121  0.0042338
0.000401048895  0.003921867
0.000442115098  0.003735535
0.000473919673  0.003607156
0.000529715904  0.003411154
0.000617376611  0.00315936
0.000688341928  0.002991502
0.000748269305  0.002869698
0.000809381631  0.00275865
0.000875583657  0.002651563
0.000951812388  0.002543292
0.00105686177  0.002412719
0.00123976986  0.002227698
0.00137668384  0.002113376
0.00147860534  0.002039192
0.00160733343  0.001955522
0.00174726865  0.001875221
0.00189938669  0.001798623
0.00211372353  0.001704487
0.00247953973  0.001573777
0.00275336772  0.001493013
0.0029572107  0.001440605
0.00321466687  0.001381495
0.0034945373  0.001324766
0.00379877339  0.001270653
0.00422744708  0.00120415
0.00495907946  0.001111809
0.00550673542  0.001054752
0.00591442139  0.001017728
0.00642933374  0.000975969
0.00698907461  0.000935893
0.00759754678  0.000897664
0.00845489418  0.000850683
0.00991815891  0.000785447
0.0110134708  0.000745139
0.0118288428  0.000718983
0.0128586675  0.000689483
0.0140471794  0.000659609
0.0152358287  0.000633362
0.0169097883  0.000600972
0.0198363178  0.000554886
0.0220269417  0.00052641
0.0236576856  0.000507932
0.025717335  0.000487091
0.0280943589  0.000465987
0.0304716575  0.000447444
0.0338195767  0.000424562
0.0396726356  0.000392004
0.0440538833  0.000371887
0.047315371  0.000358833
0.0514346698  0.000344109
0.0561887176  0.0003292
0.0609433149  0.000316101
0.0676391532  0.000299935
0.0716814009  0.000291397
0.0793452711  0.000276935
0.0881077667  0.000262723
0.0946307421  0.000253501
0.103098871  0.00024284
0.112377435  0.000232566
0.12188663  0.000223312
0.135278308  0.000211892
0.143362803  0.00020586
0.158690543  0.000195643
0.176215533  0.000185603
0.189261484  0.000179088
0.206197742  0.000171556
0.22475487  0.000164299
0.24377326  0.000157761
0.270556614  0.000149693
0.286725605  0.000145432
0.317381085  0.000138214
0.352431067  0.00013112
0.378522969  0.000126518
0.412395484  0.000121196
0.448298832  0.000116227
0.5  0.000109998
0.999829026  3.76602e-08
0.999865664  2.97464e-08
0.999890089  2.46205e-08
0.999908408  2.09205e-08
0.999923673  1.79746e-08
0.999935886  1.57327e-08
0.999945045  1.41306e-08
0.999954205  1.26046e-08
0.999963364  1.11621e-08
0.99996947  1.02499e-08
0.999975576  9.37916e-09
0.999983209  8.35096e-09
0.999989315  7.57799e-09
0.999995421  6.84983e-09
1.00000173  6.14498e-09
1.00000689  5.60445e-09
1.00001206  5.09519e-09
1.00001723  4.61797e-09
1.0000224  4.17232e-09
1.00002756  3.75842e-09
1.00003273  3.37389e-09
1.00003618  3.13365e-09
1.00003962  2.90682e-09
1.00004307  2.69176e-09
1.00004651  2.48939e-09
1.00004996  2.29816e-09
1.0000534  2.11883e-09
1.00005685  1.94997e-09
1.00006029  1.79217e-09
1.00006374  1.6441e-09
1.00006718  1.50621e-09
1.00007063  1.3773e-09
1.00007407  1.25768e-09
1.00007752  1.14625e-09
1.00008096  1.04324e-09
1.00008441  9.4763e-10
1.00008785  8.5958e-10
1.00009044  7.9783e-10
1.00009302  7.4001e-10
1.0000956  6.8572e-10
1.00009819  6.3461e-10
1.00010077  5.8691e-10
1.00010335  5.4227e-10
1.00010593  5.0052e-10
1.00010851  4.6154e-10
1.0001111  4.2503e-10
1.00011368  3.9114e-10
1.00011626  3.596e-10
1.00011885  3.3015e-10
1.00012143  3.0291e-10
1.00012401  2.7764e-10
1.0001266  2.5413e-10
1.00012918  2.3245e-10
1.00013177  2.1233e-10
1.00013435  1.9381e-10
1.00013693  1.7673e-10
1.00013952  1.6093e-10
1.0001421  1.4644e-10
1.00014468  1.3312e-10
1.00014727  1.2083e-10
1.00014985  1.0961e-10
1.00015244  9.9282e-11
1.00015502  8.9868e-11
1.00015846  7.856e-11
1.00016534  5.9693e-11
1.00022045  4.9985e-12
1.00044089  1.2318e-18
1.00088177  0
20  0
