94-Pu-240(n,&gamma;) ENDF/B-VII.1
91.9513,5.66202
91.9865,6.27362
92.0159,7.13848
92.0394,8.19742
92.0629,9.73825
92.0851,11.8182
92.1055,14.4561
92.126,18.0054
92.1464,22.7152
92.1689,29.5728
92.1913,38.5772
92.2148,50.7195
92.2404,67.5368
92.271,93.1292
92.3074,131.043
92.425,276.057
92.4691,312.632
92.5098,324.45
92.5492,313.181
92.5893,281.259
92.6538,203.687
92.7159,126.44
92.751,90.361
92.7796,66.6541
92.8067,48.9209
92.8297,37.1572
92.8527,28.0225
92.8731,21.7656
92.893,17.0545
92.9145,13.2148
92.9359,10.3746
92.9574,8.29183
92.9788,6.7708
93.0003,5.65861
93.0258,4.70924
93.0564,3.92638
93.0922,3.31316
93.133,2.83758
93.1923,2.37205
93.2638,1.99132
93.3496,1.67324
93.4599,1.38982
93.5947,1.15329
93.752,0.964417
93.9358,0.811899
94.1565,0.685614
94.4171,0.583186
94.7245,0.50088
95.1087,0.432919
95.5697,0.381851
96.1436,0.345934
96.8769,0.32656
97.0363,0.325629
97.8332,0.336794
98.6301,0.370884
99.2834,0.421005
99.9368,0.500134
100.508,0.604488
101.009,0.738186
101.437,0.903147
101.795,1.09616
102.142,1.35856
102.428,1.66002
102.703,2.06721
102.948,2.57902
103.168,3.22777
103.346,3.9637
103.506,4.86397
103.659,6.06312
103.795,7.56838
103.903,9.19985
104.002,11.262
104.094,13.8862
104.173,17.0127
104.245,20.9374
104.306,25.661
104.353,30.7187
104.398,37.3914
104.438,45.9779
104.469,55.3341
104.502,69.1755
104.532,86.6427
104.559,107.753
104.586,136.207
104.611,171.889
104.639,223.264
104.669,295.557
104.702,397.54
104.737,535.405
104.78,746.692
104.902,1447.2
104.955,1653.09
105.0,1712.48
105.039,1665.89
105.09,1484.16
105.163,1075.19
105.229,701.51
105.272,499.065
105.304,377.43
105.332,292.345
105.362,219.856
105.388,173.387
105.414,136.132
105.442,107.001
105.47,85.3779
105.5,67.8644
105.534,54.2007
105.571,43.7813
105.607,36.3958
105.653,29.8251
105.704,24.6435
105.766,20.1832
105.842,16.2226
105.931,12.9707
106.021,10.6342
106.128,8.59579
106.25,6.92342
106.381,5.63899
106.541,4.49762
106.71,3.64083
106.914,2.89827
107.133,2.33106
107.378,1.87748
107.623,1.54715
107.945,1.2347
108.267,1.01009
108.624,0.827893
109.032,0.676967
109.492,0.554665
109.982,0.460098
110.579,0.377738
111.147,0.321398
111.905,0.26849
112.708,0.230936
113.51,0.206186
114.313,0.19172
115.116,0.186082
115.965,0.190904
116.547,0.20208
117.145,0.223344
117.587,0.2471
118.088,0.289711
118.518,0.346635
118.863,0.414861
119.182,0.507378
119.456,0.623256
119.696,0.770408
119.889,0.939633
120.072,1.16416
120.232,1.44373
120.368,1.78237
120.488,2.19793
120.591,2.69394
120.676,3.2614
120.756,3.9904
120.825,4.86413
120.882,5.89353
120.924,6.97917
120.967,8.53747
121.001,10.3577
121.031,12.626
121.06,15.6757
121.085,19.3698
121.11,24.3938
121.135,31.2076
121.16,40.3784
121.183,52.035
121.21,68.9645
121.236,91.0928
121.266,123.252
121.295,163.016
121.329,222.301
121.374,317.519
121.489,602.428
121.545,703.655
121.593,739.378
121.6,739.923
121.643,716.524
121.691,642.442
121.762,475.997
121.838,288.341
121.879,205.526
121.914,150.13
121.944,110.864
121.973,82.1508
121.999,62.6471
122.025,47.6974
122.05,36.4384
122.074,28.6832
122.099,22.5314
122.124,17.9976
122.149,14.6604
122.179,11.7815
122.209,9.74729
122.239,8.27552
122.281,6.79024
122.333,5.57494
122.397,4.53169
122.474,3.66248
122.555,3.00818
122.655,2.43025
122.758,2.00082
122.877,1.63529
123.014,1.33325
123.168,1.0884
123.348,0.883667
123.536,0.729089
123.758,0.597381
124.018,0.488529
124.308,0.402499
124.648,0.332414
125.036,0.277214
125.521,0.231708
126.087,0.196818
126.673,0.174712
127.258,0.162351
128.043,0.155749
128.596,0.15864
129.149,0.169559
129.568,0.188506
129.785,0.207886
129.94,0.233633
130.018,0.257914
130.064,0.282764
130.111,0.324488
130.149,0.383241
130.18,0.456617
130.208,0.549681
130.235,0.680296
130.262,0.861085
130.288,1.09179
130.314,1.40107
130.34,1.80023
130.37,2.39802
130.405,3.2752
130.444,4.49999
130.501,6.71974
130.598,10.6162
130.65,12.0708
130.7,12.557
130.746,12.1397
130.795,10.8752
130.869,7.96801
130.944,4.94846
130.987,3.52705
131.022,2.60902
131.053,1.9689
131.081,1.51891
131.11,1.16542
131.136,0.928037
131.165,0.735556
131.194,0.600563
131.223,0.507753
131.258,0.435104
131.289,0.394234
131.32,0.367743
131.382,0.339295
131.476,0.323905
131.576,0.320795
131.786,0.331747
132.05,0.364038
132.393,0.431178
132.707,0.523032
132.991,0.643625
133.22,0.781478
133.423,0.950455
133.62,1.17878
133.778,1.43399
133.936,1.79001
134.071,2.22125
134.184,2.72118
134.294,3.40151
134.384,4.19276
134.457,5.07514
134.524,6.23379
134.581,7.63862
134.628,9.35655
134.668,11.5512
134.7,14.0892
134.728,17.1786
134.757,21.4342
134.784,27.0724
134.811,34.7571
134.836,44.1827
134.863,57.8653
134.891,75.9167
134.918,99.2857
134.948,131.531
134.979,175.07
135.019,243.278
135.069,351.746
135.189,643.999
135.246,741.164
135.297,774.353
135.3,774.43
135.349,746.582
135.403,659.252
135.495,439.36
135.558,290.076
135.601,207.445
135.637,150.576
135.669,111.892
135.698,84.5033
135.726,64.4887
135.752,49.9833
135.777,38.8952
135.803,30.5225
135.828,24.4251
135.856,19.3396
135.885,15.6547
135.917,12.6465
135.95,10.4672
135.984,8.85897
136.032,7.24299
136.09,5.92047
136.158,4.84679
136.231,4.01883
136.318,3.29295
136.429,2.63018
136.542,2.14928
136.668,1.75817
136.822,1.41153
136.987,1.14791
137.19,0.916095
137.396,0.747954
137.622,0.614029
137.88,0.502933
138.19,0.407524
138.551,0.329278
138.939,0.270157
139.405,0.220549
139.871,0.185733
140.572,0.150191
141.195,0.129063
141.818,0.114682
142.441,0.10466
143.376,0.0958521
144.31,0.0927866
145.098,0.0945518
145.885,0.100873
146.672,0.113603
147.361,0.132732
147.919,0.157144
148.377,0.187752
148.781,0.22714
149.123,0.27559
149.417,0.334584
149.694,0.414072
149.922,0.507156
150.123,0.622138
150.313,0.775828
150.479,0.966756
150.612,1.18164
150.743,1.47723
150.857,1.84714
150.955,2.30117
151.031,2.80172
151.096,3.41197
151.15,4.15464
151.19,4.93132
151.228,6.00489
151.261,7.35975
151.289,8.98891
151.317,11.1169
151.344,14.0233
151.371,17.983
151.398,23.3398
151.425,30.4055
151.452,39.9652
151.48,52.4074
151.51,70.2885
151.544,95.6951
151.581,131.037
151.623,181.506
151.687,276.034
151.787,429.607
151.845,490.661
151.899,511.675
151.9,511.678
151.954,491.12
152.01,433.326
152.113,275.502
152.175,183.886
152.217,133.495
152.253,97.9389
152.286,72.7695
152.316,54.3595
152.344,41.6427
152.371,31.8071
152.398,24.3286
152.422,19.3372
152.446,15.3986
152.471,12.4091
152.499,9.82903
152.528,7.96564
152.557,6.55626
152.59,5.45347
152.628,4.54338
152.672,3.81281
152.726,3.17214
152.794,2.61084
152.875,2.13425
152.976,1.71819
153.09,1.3849
153.204,1.14423
153.356,0.914092
153.508,0.750232
153.688,0.610791
153.905,0.491314
154.139,0.401158
154.405,0.328603
154.721,0.26872
155.034,0.226975
155.411,0.192024
155.888,0.16233
156.371,0.14326
156.949,0.130426
157.451,0.125151
157.759,0.124289
158.345,0.12843
158.93,0.141328
159.441,0.162176
159.861,0.191234
160.161,0.222774
160.464,0.269664
160.721,0.328438
160.922,0.394668
161.115,0.484586
161.28,0.594948
161.417,0.724607
161.545,0.89548
161.655,1.1041
161.752,1.36527
161.82,1.62837
161.878,1.93389
161.923,2.27772
161.963,2.704
161.998,3.22255
162.031,3.93627
162.059,4.76284
162.086,5.89666
162.114,7.45721
162.141,9.60085
162.167,12.3853
162.191,15.7342
162.219,20.7546
162.246,27.3532
162.274,36.0725
162.306,48.6951
162.34,66.4058
162.379,91.9361
162.425,129.418
162.5,203.819
162.59,292.549
162.645,329.226
162.7,342.396
162.751,330.698
162.803,298.199
162.885,219.081
162.971,132.717
163.016,95.1977
163.054,69.7242
163.088,51.3303
163.12,38.1416
163.15,28.3324
163.178,21.5195
163.205,16.3215
163.229,12.8456
163.254,10.0582
163.282,7.7946
163.309,6.14398
163.337,4.94383
163.364,4.06926
163.396,3.33727
163.431,2.78538
163.465,2.38999
163.511,2.01391
163.568,1.68624
163.635,1.41687
163.717,1.17616
163.818,0.965694
163.946,0.77839
164.093,0.631212
164.258,0.517132
164.45,0.426062
164.67,0.355952
164.899,0.306846
165.174,0.268322
165.463,0.243701
165.856,0.227871
166.053,0.225889
166.412,0.231282
166.772,0.24848
167.131,0.280692
167.4,0.318147
167.697,0.378934
167.946,0.45356
168.181,0.555558
168.375,0.675805
168.541,0.819728
168.693,1.00346
168.828,1.2327
168.955,1.53793
169.055,1.87438
169.138,2.26066
169.215,2.7669
169.271,3.27854
169.315,3.84545
169.358,4.62033
169.396,5.63391
169.43,6.9084
169.459,8.43112
169.488,10.5197
169.517,13.3093
169.544,16.9928
169.572,21.923
169.6,28.4512
169.629,37.5885
169.66,50.3069
169.691,66.7791
169.724,88.8743
169.763,121.785
169.808,170.326
169.875,257.765
169.981,400.163
170.04,456.348
170.098,476.694
170.1,476.721
170.155,458.918
170.211,409.787
170.299,293.142
170.379,184.953
170.429,129.653
170.471,93.0213
170.506,68.2053
170.54,50.4736
170.57,37.9819
170.598,29.2376
170.625,22.5286
170.653,17.4517
170.682,13.4897
170.711,10.5916
170.74,8.48008
170.769,6.93965
170.804,5.60617
170.842,4.6244
170.885,3.83072
170.935,3.20201
170.999,2.64333
171.082,2.13952
171.178,1.72972
171.289,1.39838
171.405,1.1479
171.546,0.928447
171.695,0.761024
171.87,0.619525
172.063,0.506113
172.284,0.412875
172.533,0.3377
172.843,0.271772
173.151,0.225478
173.543,0.18384
174.001,0.150766
174.549,0.124276
175.129,0.105364
175.806,0.0910815
176.386,0.0832275
177.159,0.0771823
177.951,0.0751802
178.919,0.0779472
179.644,0.0843404
180.301,0.0944921
181.027,0.11275
181.545,0.133126
182.036,0.161478
182.457,0.197174
182.81,0.240096
183.142,0.297773
183.427,0.368497
183.664,0.45131
183.872,0.551642
184.068,0.683148
184.234,0.838437
184.388,1.03935
184.513,1.26376
184.625,1.54123
184.729,1.89472
184.815,2.30218
184.886,2.77164
184.946,3.3231
184.993,3.94816
185.035,4.72232
185.071,5.67857
185.107,7.03746
185.139,8.67552
185.17,11.0019
185.2,13.9789
185.23,18.0096
185.259,23.4186
185.288,30.2818
185.318,39.6821
185.351,53.3163
185.385,70.9247
185.423,96.3741
185.465,132.27
185.519,188.87
185.672,378.057
185.736,434.039
185.795,454.336
185.8,454.44
185.859,436.629
185.919,387.652
186.02,265.049
186.1,168.253
186.148,120.703
186.186,90.2796
186.221,67.4481
186.254,50.9525
186.286,38.4069
186.315,29.4135
186.345,22.5364
186.375,17.3546
186.402,13.7468
186.433,10.7077
186.464,8.50702
186.496,6.91232
186.531,5.60993
186.569,4.63697
186.616,3.80574
186.669,3.15613
186.736,2.59639
186.809,2.16472
186.897,1.78122
187.004,1.44902
187.129,1.17118
187.271,0.944443
187.431,0.762313
187.618,0.611138
187.817,0.496195
188.054,0.398207
188.315,0.321871
188.6,0.262366
188.932,0.213026
189.324,0.172428
189.717,0.144374
190.154,0.12366
190.48,0.114699
190.697,0.112579
190.86,0.114209
191.011,0.120267
191.112,0.1296
191.182,0.142288
191.24,0.161962
191.279,0.184005
191.318,0.218318
191.352,0.263862
191.381,0.319634
191.41,0.396636
191.439,0.501742
191.468,0.643222
191.497,0.830624
191.526,1.07444
191.555,1.38557
191.589,1.84754
191.628,2.52251
191.669,3.41111
191.721,4.81152
191.864,9.2452
191.925,10.6837
191.986,11.3521
192.0,11.3778
192.059,10.9389
192.118,9.73121
192.215,6.78454
192.295,4.35285
192.347,3.03591
192.388,2.21863
192.423,1.66222
192.458,1.22742
192.488,0.9339
192.519,0.708562
192.548,0.545968
192.575,0.431003
192.602,0.344147
192.632,0.272346
192.663,0.221031
192.697,0.181175
192.731,0.153804
192.774,0.130874
192.822,0.114199
192.88,0.101387
192.977,0.0882213
193.097,0.0780112
193.268,0.068607
193.481,0.0609775
193.737,0.0548923
194.116,0.0489867
194.748,0.0433132
195.506,0.0396052
196.1,0.0386009
196.676,0.0397856
197.059,0.0422725
197.442,0.0471796
197.713,0.0533274
197.951,0.0619982
198.149,0.0733471
198.312,0.0875723
198.443,0.104594
198.552,0.12537
198.631,0.147168
198.7,0.175056
198.756,0.208919
198.797,0.246854
198.832,0.292291
198.864,0.350809
198.894,0.427234
198.923,0.533324
198.948,0.652646
198.973,0.809113
199.002,1.05108
199.029,1.36417
199.057,1.77675
199.085,2.313
199.113,2.99943
199.145,4.03869
199.181,5.50494
199.22,7.53706
199.264,10.494
199.323,15.3072
199.464,28.5939
199.532,33.2388
199.593,34.9273
199.6,34.9446
199.657,33.7223
199.714,30.3293
199.804,22.2728
199.897,13.5466
199.951,9.42203
199.992,6.85304
200.028,5.09989
200.061,3.82841
200.091,2.89151
200.119,2.22878
200.147,1.71189
200.175,1.31472
200.202,1.01363
200.227,0.809064
200.252,0.652104
200.282,0.512011
200.311,0.411052
200.341,0.338197
200.375,0.279341
200.416,0.229613
200.465,0.191176
200.527,0.158848
200.601,0.133552
200.69,0.11221
200.815,0.0916126
200.946,0.0767172
201.1,0.0643406
201.28,0.054259
201.489,0.0461593
201.78,0.0385389
202.136,0.0325452
202.515,0.0283775
203.085,0.024336
203.754,0.0213453
204.913,0.0183305
206.246,0.0163919
207.637,0.0150151
210.418,0.0135241
211.346,0.0131884
216.909,0.0125684
220.491,0.0131269
222.88,0.0140033
224.671,0.0150496
227.059,0.0172264
228.85,0.0199952
230.343,0.0237424
231.462,0.0278594
232.358,0.0327666
233.142,0.0389447
233.813,0.0465016
234.373,0.0553368
234.97,0.0685491
235.418,0.0830063
235.791,0.0997227
236.178,0.123966
236.505,0.153335
236.776,0.187479
237.026,0.231536
237.24,0.284253
237.444,0.354844
237.623,0.442632
237.771,0.544845
237.893,0.661416
238.006,0.808602
238.098,0.97554
238.174,1.16963
238.233,1.37833
238.284,1.63428
238.328,1.9542
238.367,2.34288
238.405,2.89445
238.439,3.59643
238.47,4.45233
238.501,5.60591
238.531,7.15472
238.562,9.21903
238.591,11.8142
238.622,15.3264
238.656,20.4874
238.691,27.1991
238.729,36.8127
238.767,49.0159
238.812,66.8118
238.868,94.6086
238.961,150.521
239.061,210.482
239.131,239.45
239.197,249.924
239.2,249.939
239.265,240.501
239.331,214.437
239.437,151.596
239.532,94.4742
239.588,66.7372
239.633,48.9798
239.674,35.9074
239.709,27.2048
239.744,20.5018
239.778,15.345
239.809,11.8335
239.838,9.2373
239.869,7.17073
239.899,5.6191
239.93,4.46258
239.961,3.60391
239.995,2.89922
240.033,2.34524
240.072,1.95481
240.116,1.63352
240.167,1.37669
240.226,1.16754
240.302,0.97336
240.394,0.806592
240.507,0.659732
240.65,0.527364
240.803,0.42726
240.981,0.344186
241.16,0.284272
241.374,0.232001
241.624,0.188424
241.923,0.151851
242.242,0.124492
242.625,0.101643
243.028,0.0846166
243.511,0.0703871
243.994,0.060469
244.545,0.0525738
245.235,0.0459606
246.062,0.0408225
246.889,0.0378829
247.717,0.0364167
248.268,0.0360646
249.756,0.0372733
250.748,0.0397628
251.988,0.0452302
252.98,0.0523445
253.848,0.061427
254.592,0.0730285
255.243,0.0876035
255.853,0.10726
256.359,0.130245
256.793,0.158228
257.195,0.1949
257.526,0.237018
257.849,0.294872
258.125,0.364658
258.38,0.456174
258.6,0.568724
258.786,0.702375
258.954,0.872716
259.099,1.07796
259.226,1.33177
