40-Zr-90(n,&gamma;) ENDF/B-VII.1
26571.7,0.0987476
26574.7,0.0789125
26577.8,0.0642918
26581.6,0.0512773
26586.0,0.0407756
26590.6,0.0329117
26595.7,0.0265408
26601.8,0.0211653
26608.2,0.0170868
26615.6,0.0137322
26623.3,0.0111813
26632.1,0.00905772
26642.1,0.00733321
26653.8,0.00586102
26666.0,0.00476727
26680.7,0.00381337
26697.2,0.00305177
26715.6,0.00245033
26734.0,0.00201468
26753.8,0.00166835
26775.9,0.0013806
26802.4,0.00112739
26831.1,9.28143E-4
26865.6,7.55702E-4
26907.5,6.07557E-4
26950.9,5.00317E-4
26997.0,4.18053E-4
27057.6,3.42173E-4
27122.2,2.85642E-4
27175.9,2.50955E-4
27262.0,2.11454E-4
27369.5,1.79134E-4
27477.1,1.57486E-4
27563.1,1.45871E-4
27692.1,1.3235E-4
27864.2,1.23034E-4
28036.3,1.20429E-4
28165.3,1.23799E-4
28251.3,1.29707E-4
28315.9,1.37293E-4
28400.5,1.53745E-4
28460.9,1.74674E-4
28511.3,2.04407E-4
28551.6,2.40276E-4
28581.8,2.81416E-4
28606.9,3.31546E-4
28627.1,3.87405E-4
28647.2,4.65642E-4
28666.1,5.6764E-4
28681.2,6.86108E-4
28695.8,8.4971E-4
28707.5,0.0010303
28717.5,0.0012449
28726.9,0.00152532
28735.9,0.00189612
28743.6,0.00234648
28750.3,0.00288243
28756.3,0.0035564
28761.8,0.00441178
28766.8,0.00549608
28771.0,0.00677234
28774.9,0.00839801
28778.5,0.0105306
28781.4,0.0129401
28784.2,0.0160902
28786.6,0.0199578
28788.7,0.0247206
28790.5,0.0305068
28792.1,0.0376533
28793.1,0.0446982
28794.2,0.0547236
28795.1,0.0662778
28795.8,0.0804614
28796.6,0.100336
28797.2,0.123847
28797.9,0.155606
28798.5,0.198716
28799.2,0.257273
28799.8,0.334957
28800.5,0.436309
28801.2,0.586291
28802.0,0.771686
28802.9,1.06856
28803.9,1.48989
28805.7,2.36992
28807.3,3.19824
28808.7,3.6816
28809.9,3.84053
28810.0,3.84108
28811.1,3.71338
28812.5,3.27195
28814.6,2.23462
28816.2,1.44369
28817.2,1.04347
28818.0,0.776565
28818.8,0.584317
28819.5,0.443925
28820.2,0.335587
28820.8,0.261787
28821.4,0.201772
28822.0,0.160677
28822.7,0.125741
28823.4,0.100391
28824.2,0.0800312
28825.0,0.0659733
28825.7,0.0557407
28826.8,0.0453963
28828.0,0.037436
28829.5,0.0303613
