92-U-234(n,elastic) ENDF/B-VII.1
179.152,7.51143
180.458,3.482
181.154,1.08047
181.259,0.772997
181.328,0.61677
181.369,0.550135
181.41,0.512353
181.428,0.507362
181.46,0.520664
181.488,0.559579
181.511,0.616411
181.538,0.721488
181.566,0.877924
181.593,1.10178
181.617,1.37035
181.643,1.76761
181.667,2.25466
181.692,2.89934
181.717,3.7994
181.74,4.88156
181.762,6.29444
181.785,8.13753
181.808,10.5372
181.832,13.8305
181.856,18.1423
181.88,23.7547
181.904,31.0083
181.928,40.3062
181.956,54.0345
181.983,71.8269
182.011,94.5472
182.043,128.762
182.076,174.194
182.113,237.245
182.157,332.63
182.21,475.832
182.366,971.195
182.431,1124.56
182.491,1185.19
182.502,1186.73
182.556,1151.67
182.607,1058.55
182.696,809.017
182.798,501.741
182.856,357.199
182.9,271.536
182.944,205.045
182.982,160.821
183.024,125.088
183.066,99.3125
183.107,80.9563
183.149,67.9139
183.195,57.7902
183.259,48.289
183.332,41.2353
183.423,35.3528
183.552,29.8257
183.716,25.0511
183.922,20.9875
184.211,17.1121
184.586,13.6086
185.136,9.76875
186.016,4.14421
186.322,2.12379
186.417,1.59689
186.477,1.34678
186.522,1.23396
186.552,1.21272
186.582,1.25252
186.613,1.37597
186.635,1.54251
186.658,1.79281
186.681,2.17534
186.704,2.68408
186.727,3.39036
186.75,4.37751
186.77,5.4909
186.793,7.12798
186.816,9.28595
186.838,12.1123
186.861,15.7905
186.883,20.5444
186.908,27.4185
186.933,36.3993
186.958,48.0088
186.986,64.5379
187.014,85.8791
187.042,113.562
187.072,151.092
187.105,203.237
187.144,281.372
187.189,395.292
187.246,574.477
187.4,1129.63
187.464,1297.45
187.526,1368.04
187.538,1369.73
187.592,1327.94
187.658,1182.43
187.782,771.297
187.858,528.765
187.914,385.981
187.961,293.177
188.006,225.791
188.051,176.162
188.09,144.789
188.134,118.971
188.178,100.608
188.222,87.4506
188.275,76.2416
188.345,66.0683
188.437,57.1965
188.563,49.3147
188.713,42.9819
188.954,36.4155
189.24,31.5047
189.636,27.2199
190.187,23.5887
190.809,21.0425
191.611,18.9192
193.13,16.4545
194.058,15.0527
194.297,15.6379
194.532,16.3544
194.556,16.3559
195.225,15.1705
197.506,13.7914
203.03,12.0659
206.251,10.9683
207.154,10.1368
207.58,9.16858
207.782,8.65315
207.856,8.90205
207.915,9.6253
207.959,10.6542
208.004,12.2403
208.053,14.7864
208.112,19.0244
208.186,25.9454
208.325,39.8784
208.401,44.7434
208.458,45.9196
208.529,44.304
208.621,38.4487
208.779,26.1091
208.861,21.3887
208.944,18.306
209.047,16.1638
209.126,15.2619
209.283,14.3072
209.725,13.2228
210.608,12.4181
213.308,11.6142
220.294,10.5937
220.584,10.4555
220.915,10.9346
221.16,11.2111
222.217,10.7492
225.319,10.1861
225.954,9.73786
226.203,9.42424
226.348,9.63634
226.451,10.3096
226.74,13.5912
226.849,14.0235
226.99,13.5042
227.26,11.8461
227.543,11.1769
228.33,10.7344
234.511,9.83066
235.872,9.39817
236.618,8.79153
237.1,7.84524
237.178,7.83107
237.26,8.2056
237.328,9.09785
237.382,10.3852
237.444,12.6463
237.512,16.1577
237.62,23.3713
237.735,30.9694
237.814,34.0631
237.868,34.6828
237.937,33.6747
238.031,29.7962
238.204,20.7394
238.301,17.1004
238.393,14.8915
238.504,13.4297
238.663,12.4638
238.92,11.7977
239.635,11.067
241.395,10.5014
252.103,9.39943
253.371,8.95059
253.832,8.52589
253.962,8.75594
254.082,9.42481
254.352,11.6334
254.469,11.9421
254.638,11.4426
254.828,10.5495
255.088,9.88851
256.689,8.75034
257.269,8.00041
257.543,7.39216
257.623,7.3479
257.704,7.63429
257.764,8.2678
257.825,9.46589
257.875,11.0343
257.936,13.7264
258.002,17.7409
258.132,27.7792
258.237,35.166
258.319,38.4238
258.36,38.8782
258.429,37.8833
258.522,33.7343
258.717,22.0006
258.801,18.2212
258.887,15.6249
258.973,14.0162
259.041,13.2121
259.202,12.2021
259.524,11.3865
260.008,10.8375
261.436,10.208
267.034,9.49107
272.786,8.83877
274.622,8.27029
275.354,7.62398
275.78,6.90816
275.855,7.01304
275.931,7.4882
275.988,8.24486
276.046,9.53548
276.106,11.4964
276.173,14.5243
276.263,19.8506
276.414,29.2088
276.503,32.6587
276.57,33.4377
276.64,32.4723
276.736,28.8517
276.934,19.2355
277.031,15.7884
277.126,13.6242
277.22,12.3384
277.296,11.7144
277.471,10.9426
277.646,10.5441
278.378,9.7861
280.399,9.0608
285.101,7.84797
286.517,7.19166
287.547,6.41856
288.268,5.56003
288.783,4.63355
289.147,3.70444
289.464,2.64165
289.607,2.15458
289.676,2.0132
289.69,2.00407
289.733,2.04558
289.765,2.17168
289.797,2.41853
289.829,2.83555
289.856,3.3913
289.883,4.15076
289.91,5.19313
289.936,6.59461
289.963,8.44621
289.991,10.9564
290.019,14.2032
290.05,19.0167
290.082,25.2553
290.116,33.7572
290.153,45.9599
290.193,62.3752
290.237,85.1953
290.286,117.343
290.35,169.427
290.467,285.024
290.573,385.536
290.652,435.33
290.724,450.557
290.795,434.999
290.862,396.132
290.979,293.891
291.093,191.026
291.159,141.92
291.216,108.83
291.269,84.59
291.323,66.4441
291.376,53.2837
291.43,43.9573
291.492,36.5541
291.557,31.5416
291.647,27.1712
291.775,23.5891
291.904,21.3823
292.142,18.7961
292.459,16.7121
292.894,14.9923
293.489,13.6061
294.439,12.3577
295.39,11.6217
297.559,10.6564
303.752,8.87612
305.031,8.13349
305.819,7.22979
306.234,6.35476
306.553,5.38314
306.606,5.30335
306.681,5.4324
306.737,5.8874
306.783,6.66876
306.821,7.67674
306.858,9.13874
306.9,11.4766
306.94,14.6075
306.984,19.1524
307.032,25.6954
307.085,35.0908
307.149,49.3124
307.257,78.9628
307.379,111.775
307.462,126.778
307.54,131.491
307.612,127.031
307.687,114.606
307.914,60.2968
307.993,45.0725
308.053,36.2852
308.12,29.084
308.185,24.1924
308.261,20.4854
308.336,18.1934
308.412,16.7543
308.564,15.1334
308.798,13.8478
309.276,12.5132
310.01,11.5257
311.665,10.5417
317.742,8.8583
319.585,7.96449
320.558,6.99101
321.044,6.11392
321.384,5.14894
321.567,4.5298
321.661,4.37655
321.711,4.47476
321.761,4.82316
321.803,5.41601
321.845,6.41513
321.882,7.79298
321.918,9.63047
321.954,12.2252
321.991,15.6905
322.032,20.8422
322.073,27.5482
322.12,37.4251
322.172,51.1486
322.235,72.2407
322.34,114.25
322.464,164.262
322.551,188.474
322.632,196.358
322.709,189.451
322.79,169.495
323.017,87.5114
323.094,64.9146
323.162,49.5514
323.223,39.4553
323.284,32.1835
323.343,27.2175
323.411,23.3666
323.493,20.4789
323.603,18.2596
323.767,16.4581
324.01,14.9717
324.253,14.0383
324.788,12.8087
325.822,11.6465
327.32,10.8458
330.586,9.71397
330.952,9.48761
331.183,9.85527
331.541,11.049
331.637,11.1262
332.39,10.186
334.756,9.63241
341.899,8.49247
344.859,7.58326
346.348,6.69483
347.217,5.793
347.776,4.87525
348.148,3.98688
348.563,2.69992
348.642,2.58614
348.686,2.63242
348.721,2.7682
348.757,3.05262
348.786,3.41865
348.82,4.05942
348.854,5.00458
348.883,6.12932
348.916,7.85167
348.946,9.86138
348.98,13.023
349.013,16.9215
349.048,22.2127
349.087,29.7544
349.13,40.4116
349.174,54.5695
349.225,74.6491
349.287,105.684
349.371,156.77
349.545,271.973
349.636,314.658
349.719,329.888
349.724,330.004
349.809,317.918
349.905,276.944
350.131,141.464
350.206,104.39
350.268,80.4054
350.326,63.0626
350.385,50.0888
350.443,40.6806
350.501,34.0104
350.569,28.7092
350.631,25.4501
350.724,22.2902
350.817,20.2949
351.003,17.8606
351.298,15.6524
351.686,13.9413
352.245,12.4655
353.283,10.8806
356.017,8.01187
356.771,6.83627
357.31,5.58852
357.683,4.35078
357.965,3.27944
358.023,3.17251
358.081,3.22829
358.124,3.45882
358.163,3.88839
358.197,4.48258
358.23,5.36518
358.263,6.62589
358.296,8.37408
358.327,10.5714
358.361,13.7639
358.395,17.9507
358.433,23.8942
358.47,31.5498
358.512,42.4117
358.557,57.6418
358.607,78.6063
358.667,110.532
358.749,163.63
