94-Pu-241(n,elastic) ENDF/B-VII.1
215.169,12.5354
215.657,11.04
216.345,9.86767
216.866,9.51476
217.208,9.8611
217.413,10.5894
217.553,11.7735
217.666,13.5078
217.945,19.7451
218.072,21.3686
218.122,21.5101
218.267,20.5523
218.591,16.4353
218.764,15.1582
218.893,14.8661
219.086,15.5748
219.32,16.7845
219.395,16.8495
219.953,14.8508
221.075,12.6675
221.206,12.6072
221.375,12.6305
221.887,12.3795
222.24,12.4595
223.504,11.6533
224.453,10.9824
224.785,11.1599
225.101,10.8099
225.455,10.1265
225.573,10.0996
225.795,10.6538
226.088,11.7676
226.184,11.8862
226.399,11.6335
227.22,9.267
227.383,8.83986
227.47,9.10757
227.528,9.80357
227.572,10.7662
227.622,12.5394
227.673,15.1803
227.731,19.4109
227.801,26.1618
227.972,45.5608
228.048,51.5025
228.121,53.3784
228.189,51.498
228.281,44.6806
228.457,27.9804
228.527,22.8753
228.596,19.1117
228.666,16.5057
228.755,14.3907
228.88,12.691
229.109,11.0206
229.28,10.2145
229.401,10.0175
229.513,10.3694
229.625,11.3559
229.897,14.9318
230.02,15.7725
230.06,15.856
230.221,15.4315
230.678,12.6642
231.22,10.493
231.456,10.1828
231.714,10.27
231.99,9.96695
232.414,8.74238
232.426,8.73931
232.5,8.95851
232.562,9.70066
232.611,10.9751
232.654,12.8762
232.691,15.3278
232.728,18.7756
232.765,23.4661
232.802,29.6476
232.845,39.0371
232.894,52.921
232.956,74.9885
233.069,124.925
233.159,162.323
233.232,182.196
233.294,187.857
233.357,182.06
233.436,160.799
233.631,86.3485
233.696,66.4602
233.758,52.1096
233.819,41.689
233.878,34.601
233.938,29.7112
234.017,25.4399
234.117,22.1781
234.245,19.7755
234.341,18.929
234.402,18.8077
234.554,19.6412
234.748,21.0291
234.786,21.0761
234.917,20.5154
235.287,17.1011
235.592,15.3645
235.77,15.0115
236.084,15.8594
236.231,16.1662
236.515,15.7405
237.264,13.8472
237.742,13.482
238.095,12.5797
238.169,12.5544
238.466,13.3317
238.728,13.7925
239.886,11.7522
240.386,10.8026
240.561,11.0199
240.685,11.6869
241.055,15.118
241.231,15.7269
241.384,15.4052
242.021,12.6674
243.0,9.94406
243.272,9.43716
243.407,9.71236
243.511,10.5997
243.613,12.2907
243.894,18.9031
243.983,20.1097
244.063,20.4253
244.196,19.6413
244.458,16.9425
244.623,16.3849
244.88,17.3399
245.085,17.9664
245.28,17.5651
245.947,14.7427
246.557,12.8657
246.665,12.7903
246.99,13.0304
247.318,12.5248
247.85,10.5027
247.935,10.3312
248.001,10.4793
248.068,11.0885
248.134,12.4086
248.201,14.6859
248.266,17.9955
248.356,24.1922
248.517,36.4023
248.6,40.5082
248.68,41.6698
248.759,40.09
248.863,35.1343
249.03,25.8998
249.123,22.2618
249.222,20.0381
249.294,19.4536
249.391,19.7861
249.638,22.4937
249.703,22.6567
249.773,22.3718
250.108,18.1451
250.317,16.5466
250.651,15.8155
252.521,13.7352
253.933,12.5131
254.766,11.365
255.011,11.7212
255.378,13.12
255.519,13.2673
255.877,12.5359
256.279,11.5333
256.485,11.3911
256.705,11.4201
257.051,10.9723
257.49,9.35071
257.678,8.76446
257.772,8.98208
257.852,9.82627
257.914,11.1197
257.981,13.3217
258.053,16.7332
258.147,22.5566
258.318,33.9858
258.404,37.7515
258.488,39.1278
258.585,37.8677
258.746,31.8431
258.903,25.6264
259.029,22.0892
259.154,19.7467
259.342,17.6797
259.52,16.7967
259.61,16.7031
260.093,17.9402
260.156,17.9514
260.997,15.9018
262.044,14.559
263.617,13.0572
264.324,13.6522
265.516,12.6747
266.15,11.725
266.384,12.1396
266.656,13.1138
266.807,13.2631
268.166,10.8644
268.235,10.8465
268.505,11.1802
268.985,12.2772
269.783,13.2708
270.375,12.6621
270.998,11.506
271.18,11.8131
271.309,12.7061
